Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2005,23,STL,NL,0,0,,13.50,2,0,1,0,0,0,2.0,2,3,3,1,1,0,0,0,0,0,9,37,11.02,1.500,9.0,4.5,4.5,0.0,0.00,,-9999
2006,24,STL,NL,2,1,.667,3.12,61,0,10,0,0,3,75.0,64,26,26,6,22,2,72,4,0,3,309,143,3.31,1.147,7.7,0.7,2.6,8.6,3.27,,-9999
2007,25,STL,NL,14,12,.538,3.70,32,32,0,1,0,0,202.0,212,93,83,13,70,4,136,9,0,6,882,119,3.90,1.396,9.4,0.6,3.1,6.1,1.94,,-9999
2008,26,STL,NL,11,3,.786,3.20,20,20,0,1,0,0,132.0,122,51,47,12,34,1,91,3,0,3,544,132,3.78,1.182,8.3,0.8,2.3,6.2,2.68,,-9999
2009,27,STL,NL,19,8,.704,2.63,34,34,0,1,0,0,233.0,216,75,68,17,66,1,212,3,0,7,970,155,3.11,1.210,8.3,0.7,2.5,8.2,3.21,CYA-3MVP-15GG,-9999
2010,28,STL,NL,20,11,.645,2.42,33,33,0,5,2,0,230.1,186,68,62,15,56,2,213,4,0,2,910,160,2.86,1.051,7.3,0.6,2.2,8.3,3.80,ASCYA-2MVP-17,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
2012,30,STL,NL,14,13,.519,3.94,32,32,0,3,2,0,198.2,196,96,87,15,52,3,184,6,2,5,831,96,3.10,1.248,8.9,0.7,2.4,8.3,3.54,,-9999
2013,31,STL,NL,19,9,.679,2.94,34,34,0,5,2,0,241.2,223,83,79,15,35,2,219,6,0,5,956,127,2.55,1.068,8.3,0.6,1.3,8.2,6.26,ASCYA-2MVP-20GG,-9999
2014,32,STL,NL,20,9,.690,2.38,32,32,0,5,3,0,227.0,184,64,60,10,50,5,179,7,1,4,898,153,2.88,1.031,7.3,0.4,2.0,7.1,3.58,ASCYA-3MVP-8,-9999
2015,33,STL,NL,2,1,.667,1.61,7,4,2,0,0,0,28.0,25,7,5,0,4,0,20,0,0,0,111,247,2.13,1.036,8.0,0.0,1.3,6.4,5.00,,-9999
2016,34,STL,NL,13,9,.591,4.62,33,33,0,1,1,0,198.2,220,108,102,22,59,4,161,5,0,1,847,88,3.93,1.404,10.0,1.0,2.7,7.3,2.73,,-9999
2017,35,STL,NL,12,5,.706,5.11,24,23,0,0,0,0,123.1,140,73,70,14,45,4,96,5,0,2,546,83,4.29,1.500,10.2,1.0,3.3,7.0,2.13,SS,-9999
2018,36,STL,NL,2,4,.333,4.46,8,8,0,0,0,0,40.1,41,21,20,5,18,1,40,2,0,1,181,88,4.28,1.463,9.1,1.1,4.0,8.9,2.22,,-9999
2019,37,STL,NL,14,10,.583,4.19,31,31,0,0,0,0,171.2,181,83,80,22,64,7,153,8,0,2,745,100,4.36,1.427,9.5,1.2,3.4,8.0,2.39,,-9999
2020,38,STL,NL,5,3,.625,3.15,10,10,0,2,0,0,65.2,54,25,23,9,15,0,54,2,0,0,262,133,4.10,1.051,7.4,1.2,2.1,7.4,3.60,,-9999
2021,39,STL,NL,17,7,.708,3.05,32,32,0,3,1,0,206.1,168,72,70,21,50,3,174,9,1,4,828,128,3.66,1.057,7.3,0.9,2.2,7.6,3.48,CYA-7MVP-20,-9999
2022,40,STL,NL,11,12,.478,3.71,32,32,0,1,0,0,191.2,192,80,79,16,54,1,143,7,0,5,803,105,3.66,1.283,9.0,0.8,2.5,6.7,2.65,,-9999
2023,41,STL,NL,5,11,.313,7.40,21,21,0,0,0,0,101.0,151,89,83,20,41,0,55,1,0,1,484,59,5.99,1.901,13.5,1.8,3.7,4.9,1.34,,-9999
18 Yrs,18 Yrs,18 Yrs,18 Yrs,200,128,.610,3.53,478,411,13,28,11,3,2668.1,2577,1117,1047,233,736,40,2202,81,4,51,11116,114,3.54,1.242,8.7,0.8,2.5,7.4,2.99,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,15,10,.610,3.53,37,31,1,2,1,0,204,197,85,80,18,56,3,168,6,0,4,850,114,3.54,1.242,8.7,0.8,2.5,7.4,2.99,,pitch_glossary.shtml#162_avg
