Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2002,24,OAK,AL,5,4,.556,4.83,16,15,0,0,0,0,78.1,78,44,42,7,45,2,64,3,0,1,354,90,4.33,1.570,9.0,0.8,5.2,7.4,1.42,,-9999
2003,25,TOT,MLB,5,6,.455,5.31,16,15,1,0,0,0,76.1,89,47,45,11,19,0,42,1,1,3,327,81,4.59,1.415,10.5,1.3,2.2,5.0,2.21,,-9999
2003,25,OAK,AL,1,3,.250,5.34,7,6,1,0,0,0,30.1,41,19,18,5,9,0,16,0,1,0,136,84,5.01,1.648,12.2,1.5,2.7,4.7,1.78,,-9999
2003,25,CIN,NL,4,3,.571,5.28,9,9,0,0,0,0,46.0,48,28,27,6,10,0,26,1,0,3,191,79,4.31,1.261,9.4,1.2,2.0,5.1,2.60,,-9999
2004,26,CIN,NL,10,9,.526,4.86,28,28,0,1,1,0,161.0,177,90,87,26,53,5,125,5,0,7,711,87,4.68,1.429,9.9,1.5,3.0,7.0,2.36,,-9999
2005,27,CIN,NL,11,13,.458,3.83,32,32,0,1,0,0,211.2,217,93,90,22,51,3,163,8,0,6,887,112,3.67,1.266,9.2,0.9,2.2,6.9,3.20,,-9999
2006,28,CIN,NL,16,11,.593,3.76,36,35,0,6,2,0,234.1,242,109,98,28,56,8,216,8,1,6,993,124,3.68,1.272,9.3,1.1,2.2,8.3,3.86,,-9999
2007,29,CIN,NL,16,6,.727,3.73,34,34,0,2,1,0,231.2,213,100,96,28,52,3,218,8,1,12,948,124,3.71,1.144,8.3,1.1,2.0,8.5,4.19,CYA-4,-9999
2008,30,CIN,NL,6,17,.261,4.78,30,29,0,1,1,0,184.1,205,104,98,35,50,5,153,2,0,2,793,92,4.79,1.383,10.0,1.7,2.4,7.5,3.06,,-9999
2009,31,CIN,NL,6,14,.300,4.21,26,26,0,2,1,0,162.1,186,82,76,24,43,6,142,4,0,6,703,100,4.14,1.411,10.3,1.3,2.4,7.9,3.30,,-9999
2010,32,CIN,NL,6,7,.462,5.32,22,20,1,0,0,0,111.2,139,71,66,16,38,0,82,4,0,9,504,77,4.60,1.585,11.2,1.3,3.1,6.6,2.16,,-9999
2011,33,SDP,NL,14,7,.667,3.64,28,28,0,0,0,0,170.2,175,73,69,20,58,4,124,3,0,3,719,98,4.17,1.365,9.2,1.1,3.1,6.5,2.14,,-9999
2012,34,LAD,NL,10,10,.500,3.61,31,31,0,0,0,0,179.2,167,85,72,14,85,10,131,4,0,4,786,105,4.13,1.403,8.4,0.7,4.3,6.6,1.54,,-9999
2013,35,TOT,MLB,5,12,.294,5.40,26,26,0,2,2,0,143.1,153,91,86,26,40,1,113,6,0,4,626,68,4.79,1.347,9.6,1.6,2.5,7.1,2.83,,-9999
2013,35,SEA,AL,5,11,.313,5.76,22,22,0,2,2,0,120.1,133,81,77,21,28,1,87,5,0,3,526,64,4.69,1.338,9.9,1.6,2.1,6.5,3.11,,-9999
2013,35,NYM,NL,0,1,.000,3.52,4,4,0,0,0,0,23.0,20,10,9,5,12,0,26,1,0,1,100,103,5.31,1.391,7.8,2.0,4.7,10.2,2.17,,-9999
2014,36,ATL,NL,12,12,.500,3.57,33,33,0,0,0,0,204.1,215,88,81,15,71,4,161,1,0,9,876,100,3.57,1.400,9.5,0.7,3.1,7.1,2.27,,-9999
2015,37,PHI,NL,6,15,.286,4.86,29,29,0,0,0,0,172.1,189,100,93,26,51,3,108,6,0,4,748,79,4.83,1.393,9.9,1.4,2.7,5.6,2.12,,-9999
14 Yrs,14 Yrs,14 Yrs,14 Yrs,128,143,.472,4.26,387,381,2,15,8,0,2322.0,2445,1177,1099,298,712,54,1842,63,3,76,9975,97,4.18,1.360,9.5,1.2,2.8,7.1,2.59,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,11,13,.472,4.26,34,34,0,1,1,0,206,216,104,97,26,63,5,163,6,0,7,883,97,4.18,1.360,9.5,1.2,2.8,7.1,2.59,,pitch_glossary.shtml#162_avg
