Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2001,20,CLE,AL,17,5,.773,4.39,33,33,0,0,0,0,180.1,149,93,88,19,95,1,171,7,3,7,763,102,4.22,1.353,7.4,0.9,4.7,8.5,1.80,RoY-2,-9999
2002,21,CLE,AL,13,11,.542,4.37,33,33,0,2,0,0,210.0,198,109,102,17,88,2,149,1,3,6,891,100,3.87,1.362,8.5,0.7,3.8,6.4,1.69,,-9999
2003,22,CLE,AL,13,9,.591,3.60,30,30,0,2,1,0,197.2,190,85,79,19,66,3,141,6,2,4,832,122,3.95,1.295,8.7,0.9,3.0,6.4,2.14,AS,-9999
2004,23,CLE,AL,11,10,.524,4.12,30,30,0,1,1,0,188.0,176,90,86,20,72,3,139,7,1,1,787,106,4.21,1.319,8.4,1.0,3.4,6.7,1.93,AS,-9999
2005,24,CLE,AL,15,10,.600,4.03,31,31,0,1,0,0,196.2,185,92,88,19,62,1,161,7,0,7,823,104,3.69,1.256,8.5,0.9,2.8,7.4,2.60,,-9999
2006,25,CLE,AL,12,11,.522,3.22,28,28,0,6,2,0,192.2,182,83,69,17,44,3,172,7,0,3,802,139,3.30,1.173,8.5,0.8,2.1,8.0,3.91,,-9999
2007,26,CLE,AL,19,7,.731,3.21,34,34,0,4,1,0,241.0,238,94,86,20,37,1,209,8,0,1,975,141,3.14,1.141,8.9,0.7,1.4,7.8,5.65,ASCYA-1MVP-14,-9999
2008,27,TOT,MLB,17,10,.630,2.70,35,35,0,10,5,0,253.0,223,85,76,19,59,1,251,7,2,2,1023,156,2.91,1.115,7.9,0.7,2.1,8.9,4.25,CYA-5MVP-6,-9999
2008,27,CLE,AL,6,8,.429,3.83,18,18,0,3,2,0,122.1,117,54,52,13,34,1,123,3,2,1,507,111,3.41,1.234,8.6,1.0,2.5,9.0,3.62,,-9999
2008,27,MIL,NL,11,2,.846,1.65,17,17,0,7,3,0,130.2,106,31,24,6,25,0,128,4,0,1,516,255,2.44,1.003,7.3,0.4,1.7,8.8,5.12,,-9999
2009,28,NYY,AL,19,8,.704,3.37,34,34,0,2,1,0,230.0,197,96,86,18,67,7,197,9,0,5,938,137,3.39,1.148,7.7,0.7,2.6,7.7,2.94,CYA-4MVP-21,-9999
2010,29,NYY,AL,21,7,.750,3.18,34,34,0,2,0,0,237.2,209,92,84,20,74,6,197,7,1,8,970,136,3.54,1.191,7.9,0.8,2.8,7.5,2.66,ASCYA-3MVP-13,-9999
2011,30,NYY,AL,19,8,.704,3.00,33,33,0,3,1,0,237.1,230,87,79,17,61,4,230,7,1,2,985,143,2.88,1.226,8.7,0.6,2.3,8.7,3.77,ASCYA-4MVP-14,-9999
2012,31,NYY,AL,15,6,.714,3.38,28,28,0,2,0,0,200.0,184,89,75,22,44,2,197,8,1,4,833,125,3.33,1.140,8.3,1.0,2.0,8.9,4.48,AS,-9999
2013,32,NYY,AL,14,13,.519,4.78,32,32,0,2,0,0,211.0,224,122,112,28,65,5,175,4,1,7,908,84,4.10,1.370,9.6,1.2,2.8,7.5,2.69,,-9999
2014,33,NYY,AL,3,4,.429,5.28,8,8,0,0,0,0,46.0,58,31,27,10,10,0,48,4,0,2,209,73,4.78,1.478,11.3,2.0,2.0,9.4,4.80,,-9999
2015,34,NYY,AL,6,10,.375,4.73,29,29,0,1,0,0,167.1,188,92,88,28,50,3,137,6,1,5,726,86,4.68,1.422,10.1,1.5,2.7,7.4,2.74,,-9999
2016,35,NYY,AL,9,12,.429,3.91,30,30,0,0,0,0,179.2,172,83,78,22,65,1,152,9,1,2,768,110,4.28,1.319,8.6,1.1,3.3,7.6,2.34,,-9999
2017,36,NYY,AL,14,5,.737,3.69,27,27,0,0,0,0,148.2,139,64,61,21,50,1,120,5,0,5,623,122,4.49,1.271,8.4,1.3,3.0,7.3,2.40,,-9999
2018,37,NYY,AL,9,7,.563,3.65,29,29,0,0,0,0,153.0,150,72,62,19,51,0,140,11,0,3,665,115,4.16,1.314,8.8,1.1,3.0,8.2,2.75,,-9999
2019,38,NYY,AL,5,8,.385,4.95,23,22,0,0,0,0,107.1,112,64,59,27,39,0,107,3,0,0,468,90,5.66,1.407,9.4,2.3,3.3,9.0,2.74,,-9999
19 Yrs,19 Yrs,19 Yrs,19 Yrs,251,161,.609,3.74,561,560,0,38,12,0,3577.1,3404,1623,1485,382,1099,44,3093,123,17,74,14989,116,3.78,1.259,8.6,1.0,2.8,7.8,2.81,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,15,10,.609,3.74,34,34,0,2,1,0,217,206,98,90,23,67,3,188,7,1,4,909,116,3.78,1.259,8.6,1.0,2.8,7.8,2.81,,pitch_glossary.shtml#162_avg
NYY (11 yrs),NYY (11 yrs),NYY (11 yrs),NYY (11 yrs),134,88,.604,3.81,307,306,0,12,2,0,1918.0,1863,892,811,232,576,29,1700,73,6,43,8093,112,3.92,1.272,8.7,1.1,2.7,8.0,2.95,,-9999
CLE (8 yrs),CLE (8 yrs),CLE (8 yrs),CLE (8 yrs),106,71,.599,3.83,237,237,0,19,7,0,1528.2,1435,700,650,144,498,15,1265,46,11,30,6380,115,3.72,1.265,8.4,0.8,2.9,7.4,2.54,,-9999
MIL (1 yr),MIL (1 yr),MIL (1 yr),MIL (1 yr),11,2,.846,1.65,17,17,0,7,3,0,130.2,106,31,24,6,25,0,128,4,0,1,516,255,2.44,1.003,7.3,0.4,1.7,8.8,5.12,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
AL (19 yrs),AL (19 yrs),AL (19 yrs),AL (19 yrs),240,159,.602,3.81,544,543,0,31,9,0,3446.2,3298,1592,1461,376,1074,44,2965,119,17,73,14473,114,3.83,1.268,8.6,1.0,2.8,7.7,2.76,,-9999
NL (1 yr),NL (1 yr),NL (1 yr),NL (1 yr),11,2,.846,1.65,17,17,0,7,3,0,130.2,106,31,24,6,25,0,128,4,0,1,516,255,2.44,1.003,7.3,0.4,1.7,8.8,5.12,,-9999
