Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2009,22,CLE,AL,0,4,.000,8.87,5,5,0,0,0,0,22.1,40,23,22,6,11,1,11,0,1,0,112,49,7.08,2.284,16.1,2.4,4.4,4.4,1.00,,-9999
2010,23,CLE,AL,2,2,.500,3.83,7,7,0,1,0,0,44.2,47,20,19,6,14,1,38,1,0,1,188,104,4.13,1.366,9.5,1.2,2.8,7.7,2.71,,-9999
2011,24,CLE,AL,8,9,.471,4.62,21,21,0,1,0,0,124.2,130,68,64,15,40,3,85,4,0,3,536,85,4.28,1.364,9.4,1.1,2.9,6.1,2.13,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
2013,26,CLE,AL,1,4,.200,6.75,15,7,5,0,0,0,46.2,64,36,35,4,18,2,30,1,0,2,218,57,4.10,1.757,12.3,0.8,3.5,5.8,1.67,,-9999
2014,27,CLE,AL,8,7,.533,2.55,40,14,12,1,1,1,134.0,103,40,38,7,29,1,140,3,0,4,529,153,2.44,0.985,6.9,0.5,1.9,9.4,4.83,,-9999
2015,28,CLE,AL,14,12,.538,3.63,30,30,0,3,1,0,183.2,154,75,74,18,43,2,216,5,0,5,730,119,2.84,1.073,7.5,0.9,2.1,10.6,5.02,CYA-13,-9999
2016,29,CLE,AL,11,8,.579,3.32,25,25,0,1,1,0,146.1,134,64,54,21,34,2,150,3,1,4,599,136,3.72,1.148,8.2,1.3,2.1,9.2,4.41,,-9999
2017,30,CLE,AL,18,6,.750,3.29,32,32,0,1,0,0,200.0,173,73,73,21,46,2,226,10,0,10,798,139,3.10,1.095,7.8,0.9,2.1,10.2,4.91,CYA-4,-9999
2018,31,CLE,AL,17,10,.630,3.38,32,30,1,2,0,0,192.0,173,78,72,21,43,4,231,6,0,9,784,128,2.94,1.125,8.1,1.0,2.0,10.8,5.37,,-9999
2019,32,CLE,AL,6,7,.462,5.29,23,12,3,1,1,1,80.0,92,48,47,18,16,1,96,2,0,2,341,89,4.41,1.350,10.4,2.0,1.8,10.8,6.00,,-9999
2020,33,CLE,AL,3,4,.429,2.91,12,12,0,0,0,0,68.0,55,22,22,8,27,0,82,2,0,6,280,153,3.59,1.206,7.3,1.1,3.6,10.9,3.04,,-9999
2021,34,NYM,NL,1,5,.167,6.04,12,12,0,0,0,0,53.2,59,39,36,12,18,0,50,0,0,1,237,67,5.22,1.435,9.9,2.0,3.0,8.4,2.78,,-9999
2022,35,NYM,NL,15,7,.682,3.97,29,29,0,0,0,0,152.0,161,71,67,17,41,2,152,8,0,5,645,97,3.53,1.329,9.5,1.0,2.4,9.0,3.71,,-9999
2023,36,NYM,NL,3,8,.273,6.80,20,20,0,0,0,0,90.0,115,71,68,18,38,0,66,6,1,3,417,62,5.86,1.700,11.5,1.8,3.8,6.6,1.74,,-9999
14 Yrs,14 Yrs,14 Yrs,14 Yrs,107,93,.535,4.04,303,256,21,11,4,2,1538.0,1500,728,691,192,418,21,1573,51,3,55,6414,105,3.63,1.247,8.8,1.1,2.4,9.2,3.76,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,13,11,.535,4.04,37,31,3,1,0,0,187,182,89,84,23,51,3,191,6,0,7,780,105,3.63,1.247,8.8,1.1,2.4,9.2,3.76,,pitch_glossary.shtml#162_avg
