Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
2003,24,ARI,NL,2,4,.333,4.64,9,5,2,0,0,0,33.0,27,19,17,3,11,1,23,6,0,3,139,102,4.36,1.152,7.4,0.8,3.0,6.3,2.09,,-9999
2004,25,MIL,NL,6,8,.429,4.99,17,17,0,0,0,0,88.1,91,55,49,18,37,1,80,5,1,3,385,88,5.31,1.449,9.3,1.8,3.8,8.2,2.16,,-9999
2005,26,MIL,NL,18,12,.600,3.99,35,35,0,0,0,0,219.0,212,105,97,31,91,6,176,12,4,3,949,107,4.66,1.384,8.7,1.3,3.7,7.2,1.93,,-9999
2006,27,MIL,NL,11,12,.478,4.03,34,34,0,3,2,0,221.1,229,108,99,29,47,4,174,9,0,7,936,113,4.04,1.247,9.3,1.2,1.9,7.1,3.70,AS,-9999
2007,28,MIL,NL,5,12,.294,5.10,29,25,0,0,0,0,150.0,170,93,85,20,54,2,132,8,0,10,669,87,4.45,1.493,10.2,1.2,3.2,7.9,2.44,,-9999
2010,31,MIL,NL,4,4,.500,3.95,24,9,5,0,0,0,66.0,65,29,29,9,21,1,54,1,0,5,278,102,4.22,1.303,8.9,1.2,2.9,7.4,2.57,,-9999
2011,32,NYM,NL,11,12,.478,4.55,33,31,0,1,1,0,186.0,198,99,94,27,53,5,168,5,0,4,802,81,4.04,1.349,9.6,1.3,2.6,8.1,3.17,,-9999
2012,33,LAD,NL,12,12,.500,3.72,33,33,0,0,0,0,198.1,188,91,82,25,54,4,162,2,0,6,817,102,3.95,1.220,8.5,1.1,2.5,7.4,3.00,,-9999
2013,34,LAD,NL,4,7,.364,4.26,24,20,0,0,0,0,105.2,125,57,50,11,24,5,81,0,0,5,457,84,3.55,1.410,10.6,0.9,2.0,6.9,3.38,,-9999
2014,35,TOT,AL,3,4,.429,4.35,40,12,4,0,0,0,97.1,101,51,47,10,34,3,84,4,1,8,429,90,3.91,1.387,9.3,0.9,3.1,7.8,2.47,,-9999
2014,35,BOS,AL,1,1,.500,4.55,28,0,4,0,0,0,31.2,34,17,16,3,15,2,29,1,1,4,143,88,4.05,1.547,9.7,0.9,4.3,8.2,1.93,,-9999
2014,35,NYY,AL,2,3,.400,4.25,12,12,0,0,0,0,65.2,67,34,31,7,19,1,55,3,0,4,286,90,3.85,1.310,9.2,1.0,2.6,7.5,2.89,,-9999
2015,36,NYY,AL,0,4,.000,7.97,22,4,7,0,0,0,40.2,52,38,36,6,22,1,38,3,0,0,196,51,5.03,1.820,11.5,1.3,4.9,8.4,1.73,,-9999
2016,37,MIL,NL,1,1,.500,4.13,16,0,3,0,0,0,24.0,23,11,11,7,15,2,27,1,0,1,106,105,6.69,1.583,8.6,2.6,5.6,10.1,1.80,,-9999
12 Yrs,12 Yrs,12 Yrs,12 Yrs,77,92,.456,4.38,316,225,21,4,3,0,1429.2,1481,756,696,196,463,35,1199,56,6,55,6163,94,4.29,1.360,9.3,1.2,2.9,7.5,2.59,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,10,12,.456,4.38,40,28,3,1,0,0,180,186,95,87,25,58,4,151,7,1,7,775,94,4.29,1.360,9.3,1.2,2.9,7.5,2.59,,pitch_glossary.shtml#162_avg
