Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2007,22,BOS,AL,3,1,.750,1.59,4,3,0,1,1,0,22.2,14,6,4,0,10,0,22,1,0,0,88,303,2.75,1.059,5.6,0.0,4.0,8.7,2.20,,-9999
2008,23,BOS,AL,2,9,.182,6.75,16,15,0,1,0,0,76.0,93,63,57,11,41,1,72,2,1,2,357,69,4.82,1.763,11.0,1.3,4.9,8.5,1.76,,-9999
2009,24,BOS,AL,7,4,.636,4.21,16,16,0,0,0,0,92.0,91,44,43,13,36,1,68,2,0,1,399,111,4.69,1.380,8.9,1.3,3.5,6.7,1.89,,-9999
2010,25,BOS,AL,17,7,.708,2.33,28,28,0,1,1,0,173.2,142,55,45,9,67,1,120,5,1,7,711,187,3.61,1.203,7.4,0.5,3.5,6.2,1.79,ASCYA-6,-9999
2011,26,BOS,AL,6,3,.667,3.48,14,14,0,0,0,0,82.2,76,34,32,10,31,1,60,2,0,3,353,124,4.34,1.294,8.3,1.1,3.4,6.5,1.94,,-9999
2012,27,BOS,AL,11,8,.579,4.56,29,29,0,2,1,0,189.1,187,104,96,25,64,2,129,12,2,2,802,92,4.65,1.326,8.9,1.2,3.0,6.1,2.02,,-9999
2013,28,BOS,AL,12,1,.923,1.74,16,16,0,1,1,0,108.1,75,23,21,4,36,0,96,1,0,1,416,237,2.78,1.025,6.2,0.3,3.0,8.0,2.67,AS,-9999
2014,29,BOS,AL,8,11,.421,5.34,28,28,0,2,2,0,170.1,182,108,101,17,54,2,132,10,0,8,737,75,4.01,1.386,9.6,0.9,2.9,7.0,2.44,,-9999
2015,30,BOS,AL,7,7,.500,3.26,18,18,0,1,0,0,113.1,114,48,41,6,23,0,107,5,0,3,469,132,2.68,1.209,9.1,0.5,1.8,8.5,4.65,,-9999
2016,31,BOS,AL,8,10,.444,4.78,37,21,7,0,0,0,139.1,130,80,74,21,55,1,93,5,0,1,588,94,5.06,1.328,8.4,1.4,3.6,6.0,1.69,,-9999
2017,32,PHI,NL,0,1,.000,12.27,2,2,0,0,0,0,7.1,16,10,10,1,3,0,5,0,0,0,40,37,4.79,2.591,19.6,1.2,3.7,6.1,1.67,,-9999
2018,33,ARI,NL,7,2,.778,2.01,16,16,0,1,0,0,98.1,80,25,22,9,22,1,81,3,0,1,393,209,3.47,1.037,7.3,0.8,2.0,7.4,3.68,,-9999
2019,34,TOR,AL,2,5,.286,6.56,12,12,0,0,0,0,59.0,72,44,43,13,16,1,39,1,0,1,254,69,5.62,1.492,11.0,2.0,2.4,5.9,2.44,,-9999
13 Yrs,13 Yrs,13 Yrs,13 Yrs,90,69,.566,3.98,236,218,7,10,6,0,1332.1,1272,644,589,139,458,11,1024,49,4,30,5607,109,4.07,1.298,8.6,0.9,3.1,6.9,2.24,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,13,10,.566,3.98,35,33,1,1,1,0,200,191,96,88,21,69,2,153,7,1,4,840,109,4.07,1.298,8.6,0.9,3.1,6.9,2.24,,pitch_glossary.shtml#162_avg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
