Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2002,23,CLE,AL,0,1,.000,1.74,2,2,0,0,0,0,10.1,6,2,2,0,8,1,6,0,1,0,44,260,4.12,1.355,5.2,0.0,7.0,5.2,0.75,,-9999
2003,24,CLE,AL,3,3,.500,3.61,9,9,0,0,0,0,52.1,41,28,21,7,20,1,44,2,0,3,210,122,4.35,1.166,7.1,1.2,3.4,7.6,2.20,,-9999
2004,25,CLE,AL,14,8,.636,5.43,33,33,0,0,0,0,179.0,188,113,108,30,81,1,161,11,0,6,802,80,4.97,1.503,9.5,1.5,4.1,8.1,1.99,,-9999
2005,26,CLE,AL,18,5,.783,3.79,32,32,0,1,0,0,202.0,194,91,85,22,52,1,143,0,0,4,838,111,3.79,1.218,8.6,1.0,2.3,6.4,2.75,CYA-4,-9999
2006,27,CLE,AL,14,11,.560,4.40,33,33,0,1,0,0,200.2,224,114,98,29,58,3,129,8,0,3,882,102,4.73,1.405,10.0,1.3,2.6,5.8,2.22,,-9999
2007,28,CLE,AL,5,8,.385,6.29,20,16,1,1,0,0,97.1,112,73,68,17,36,1,66,7,0,5,443,72,5.48,1.521,10.4,1.6,3.3,6.1,1.83,,-9999
2008,29,CLE,AL,22,3,.880,2.54,31,31,0,4,2,0,223.1,214,68,63,12,34,1,170,5,0,4,891,167,2.83,1.110,8.6,0.5,1.4,6.9,5.00,ASCYA-1MVP-12,-9999
2009,30,TOT,MLB,14,13,.519,3.22,34,34,0,6,2,0,231.2,245,88,83,17,43,1,181,5,0,7,969,131,3.11,1.243,9.5,0.7,1.7,7.0,4.21,,-9999
2009,30,CLE,AL,7,9,.438,3.14,22,22,0,3,1,0,152.0,165,53,53,10,33,1,107,3,0,6,641,135,3.25,1.303,9.8,0.6,2.0,6.3,3.24,,-9999
2009,30,PHI,NL,7,4,.636,3.39,12,12,0,3,1,0,79.2,80,35,30,7,10,0,74,2,0,1,328,124,2.83,1.130,9.0,0.8,1.1,8.4,7.40,,-9999
2010,31,TOT,AL,12,9,.571,3.18,28,28,0,7,1,0,212.1,195,84,75,16,18,2,185,1,1,3,843,133,2.58,1.003,8.3,0.7,0.8,7.8,10.28,ASCYA-7,-9999
2010,31,SEA,AL,8,3,.727,2.34,13,13,0,5,1,0,103.2,92,31,27,5,6,0,89,0,1,2,408,168,2.16,0.945,8.0,0.4,0.5,7.7,14.83,,-9999
2010,31,TEX,AL,4,6,.400,3.98,15,15,0,2,0,0,108.2,103,53,48,11,12,2,96,1,0,1,435,113,2.99,1.058,8.5,0.9,1.0,8.0,8.00,,-9999
2011,32,PHI,NL,17,8,.680,2.40,32,32,0,6,6,0,232.2,197,66,62,18,42,0,238,6,0,0,920,160,2.60,1.027,7.6,0.7,1.6,9.2,5.67,ASCYA-3MVP-15,-9999
2012,33,PHI,NL,6,9,.400,3.16,30,30,0,0,0,0,211.0,207,79,74,26,28,0,207,0,0,4,847,128,3.13,1.114,8.8,1.1,1.2,8.8,7.39,,-9999
2013,34,PHI,NL,14,8,.636,2.87,31,31,0,2,1,0,222.2,193,77,71,22,32,0,222,4,0,1,876,131,2.82,1.010,7.8,0.9,1.3,9.0,6.94,ASCYA-6,-9999
2014,35,PHI,NL,4,5,.444,3.65,13,13,0,1,0,0,81.1,100,40,33,7,12,0,72,1,0,1,352,103,2.96,1.377,11.1,0.8,1.3,8.0,6.00,,-9999
13 Yrs,13 Yrs,13 Yrs,13 Yrs,143,91,.611,3.52,328,324,1,29,12,0,2156.2,2116,923,843,223,464,12,1824,50,2,41,8917,118,3.45,1.196,8.8,0.9,1.9,7.6,3.93,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,15,9,.611,3.52,34,34,0,3,1,0,225,221,96,88,23,48,1,190,5,0,4,930,118,3.45,1.196,8.8,0.9,1.9,7.6,3.93,,pitch_glossary.shtml#162_avg
CLE (8 yrs),CLE (8 yrs),CLE (8 yrs),CLE (8 yrs),83,48,.634,4.01,182,178,1,10,3,0,1117.0,1144,542,498,127,322,10,826,36,1,31,4751,108,4.06,1.312,9.2,1.0,2.6,6.7,2.57,,-9999
PHI (5 yrs),PHI (5 yrs),PHI (5 yrs),PHI (5 yrs),48,34,.585,2.94,118,118,0,12,8,0,827.1,777,297,270,80,124,0,813,13,0,7,3323,132,2.85,1.089,8.5,0.9,1.3,8.8,6.56,,-9999
TEX (1 yr),TEX (1 yr),TEX (1 yr),TEX (1 yr),4,6,.400,3.98,15,15,0,2,0,0,108.2,103,53,48,11,12,2,96,1,0,1,435,113,2.99,1.058,8.5,0.9,1.0,8.0,8.00,,-9999
SEA (1 yr),SEA (1 yr),SEA (1 yr),SEA (1 yr),8,3,.727,2.34,13,13,0,5,1,0,103.2,92,31,27,5,6,0,89,0,1,2,408,168,2.16,0.945,8.0,0.4,0.5,7.7,14.83,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
