Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2006,22,PHI,NL,9,8,.529,4.08,23,23,0,0,0,0,132.1,117,66,60,19,48,4,145,3,0,5,558,115,3.98,1.247,8.0,1.3,3.3,9.9,3.02,,-9999
2007,23,PHI,NL,15,5,.750,3.39,28,28,0,2,0,0,183.1,163,72,69,25,43,4,177,3,0,5,743,135,3.83,1.124,8.0,1.2,2.1,8.7,4.12,ASCYA-6,-9999
2008,24,PHI,NL,14,10,.583,3.09,33,33,0,2,2,0,227.1,193,89,78,28,53,7,196,1,0,0,914,141,3.72,1.082,7.6,1.1,2.1,7.8,3.70,,-9999
2009,25,PHI,NL,10,11,.476,4.32,32,32,0,2,2,0,193.2,206,95,93,24,43,4,168,5,0,1,814,97,3.72,1.286,9.6,1.1,2.0,7.8,3.91,,-9999
2010,26,PHI,NL,12,11,.522,3.06,33,33,0,1,0,0,208.2,185,74,71,26,61,5,211,8,0,3,856,133,3.67,1.179,8.0,1.1,2.6,9.1,3.46,,-9999
2011,27,PHI,NL,14,9,.609,2.79,32,31,0,3,0,0,216.0,169,68,67,19,44,2,194,5,3,3,850,137,3.05,0.986,7.0,0.8,1.8,8.1,4.41,ASCYA-5,-9999
2012,28,PHI,NL,17,6,.739,3.05,31,31,0,2,2,0,215.1,190,80,73,24,52,3,216,3,2,3,867,132,3.30,1.124,7.9,1.0,2.2,9.0,4.15,ASCYA-8,-9999
2013,29,PHI,NL,8,14,.364,3.60,33,33,0,1,0,0,220.0,205,94,88,21,50,5,202,9,0,4,905,104,3.26,1.159,8.4,0.9,2.0,8.3,4.04,,-9999
2014,30,PHI,NL,9,9,.500,2.46,30,30,0,0,0,0,204.2,176,60,56,14,59,3,198,8,1,6,829,152,3.07,1.148,7.7,0.6,2.6,8.7,3.36,CYA-6,-9999
2015,31,TOT,MLB,13,8,.619,3.65,32,32,0,2,1,0,212.1,190,88,86,22,62,3,215,10,4,9,880,110,3.47,1.187,8.1,0.9,2.6,9.1,3.47,,-9999
2015,31,PHI,NL,6,7,.462,3.64,20,20,0,1,1,0,128.2,113,53,52,12,39,3,137,6,2,7,537,106,3.27,1.181,7.9,0.8,2.7,9.6,3.51,,-9999
2015,31,TEX,AL,7,1,.875,3.66,12,12,0,1,0,0,83.2,77,35,34,10,23,0,78,4,2,2,343,116,3.79,1.195,8.3,1.1,2.5,8.4,3.39,,-9999
2016,32,TEX,AL,15,5,.750,3.32,32,32,0,0,0,0,200.2,185,83,74,24,77,1,200,8,1,4,848,137,3.98,1.306,8.3,1.1,3.5,9.0,2.60,AS,-9999
2017,33,TEX,AL,11,6,.647,4.20,24,24,0,1,0,0,148.0,125,74,69,18,53,1,105,11,0,6,614,115,4.62,1.203,7.6,1.1,3.2,6.4,1.98,,-9999
2018,34,TOT,MLB,9,12,.429,3.78,32,32,0,1,0,0,190.2,176,93,80,29,65,0,188,19,3,7,806,120,4.49,1.264,8.3,1.4,3.1,8.9,2.89,,-9999
2018,34,TEX,AL,5,9,.357,4.72,20,20,0,0,0,0,114.1,115,70,60,23,42,0,114,12,2,6,502,101,5.20,1.373,9.1,1.8,3.3,9.0,2.71,,-9999
2018,34,CHC,NL,4,3,.571,2.36,12,12,0,1,0,0,76.1,61,23,20,6,23,0,74,7,1,1,304,177,3.42,1.100,7.2,0.7,2.7,8.7,3.22,,-9999
2019,35,CHC,NL,7,7,.500,3.81,27,27,0,0,0,0,141.2,141,64,60,17,56,1,143,7,0,1,617,116,4.09,1.391,9.0,1.1,3.6,9.1,2.55,,-9999
2020,36,ATL,NL,0,1,.000,8.10,1,1,0,0,0,0,3.1,3,3,3,0,1,0,2,0,0,0,14,63,2.89,1.200,8.1,0.0,2.7,5.4,2.00,,-9999
15 Yrs,15 Yrs,15 Yrs,15 Yrs,163,122,.572,3.43,423,422,0,17,7,0,2698.0,2424,1103,1027,310,767,43,2560,100,14,57,11115,123,3.68,1.183,8.1,1.0,2.6,8.5,3.34,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,13,10,.572,3.43,34,34,0,1,1,0,217,195,89,83,25,62,3,206,8,1,5,894,123,3.68,1.183,8.1,1.0,2.6,8.5,3.34,,pitch_glossary.shtml#162_avg
