Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2011,25,CLE,AL,0,0,,8.31,3,0,2,0,0,0,4.1,6,4,4,0,3,0,5,2,0,1,25,51,4.18,2.077,12.5,0.0,6.2,10.4,1.67,,-9999
2012,26,CLE,AL,2,5,.286,5.14,12,12,0,0,0,0,63.0,76,44,36,9,18,0,54,4,0,2,281,76,4.28,1.492,10.9,1.3,2.6,7.7,3.00,,-9999
2013,27,CLE,AL,11,5,.688,3.85,26,24,1,0,0,0,147.1,153,67,63,15,33,0,136,5,0,1,608,99,3.30,1.262,9.3,0.9,2.0,8.3,4.12,,-9999
2014,28,CLE,AL,18,9,.667,2.44,34,34,0,3,1,0,235.2,207,72,64,14,51,3,269,6,0,3,951,160,2.35,1.095,7.9,0.5,1.9,10.3,5.27,CYA-1MVP-11,-9999
2015,29,CLE,AL,9,16,.360,3.49,32,32,0,4,0,0,222.0,189,92,86,22,45,3,245,11,1,6,886,123,2.97,1.054,7.7,0.9,1.8,9.9,5.44,CYA-9,-9999
2016,30,CLE,AL,18,9,.667,3.14,32,32,0,3,2,0,215.0,170,82,75,22,57,1,227,7,1,5,860,144,3.26,1.056,7.1,0.9,2.4,9.5,3.98,ASCYA-3MVP-19,-9999
2017,31,CLE,AL,18,4,.818,2.25,29,29,0,5,3,0,203.2,141,56,51,21,36,2,265,5,0,4,777,202,2.50,0.869,6.2,0.9,1.6,11.7,7.36,ASCYA-1MVP-7,-9999
2018,32,CLE,AL,20,7,.741,2.89,33,33,0,2,1,0,215.0,179,75,69,25,34,0,222,3,0,2,842,150,3.12,0.991,7.5,1.0,1.4,9.3,6.53,ASCYA-3,-9999
2019,33,CLE,AL,2,3,.400,5.80,7,7,0,0,0,0,35.2,44,26,23,4,15,0,38,3,0,1,168,82,4.06,1.654,11.1,1.0,3.8,9.6,2.53,,-9999
2020,34,TEX,AL,0,0,,0.00,1,1,0,0,0,0,1.0,0,0,0,0,1,0,1,0,0,0,3,,4.19,1.000,0.0,0.0,9.0,9.0,1.00,,-9999
2021,35,NYY,AL,5,3,.625,3.83,16,16,0,1,1,0,80.0,74,37,34,8,33,0,82,5,0,3,341,112,3.85,1.338,8.3,0.9,3.7,9.2,2.48,,-9999
2022,36,TBR,AL,10,10,.500,4.34,31,31,0,0,0,0,164.0,178,82,79,20,21,0,139,10,0,2,689,84,3.57,1.213,9.8,1.1,1.2,7.6,6.62,,-9999
2023,37,BOS,AL,3,6,.333,7.04,15,9,1,0,0,1,55.0,69,47,43,17,21,0,42,4,0,1,257,65,7.11,1.636,11.3,2.8,3.4,6.9,2.00,,-9999
13 Yrs,13 Yrs,13 Yrs,13 Yrs,116,77,.601,3.44,271,260,4,18,8,1,1641.2,1486,684,627,177,368,9,1725,65,2,31,6688,122,3.23,1.129,8.1,1.0,2.0,9.5,4.69,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,15,10,.601,3.44,35,33,1,2,1,0,210,190,88,80,23,47,1,221,8,0,4,856,122,3.23,1.129,8.1,1.0,2.0,9.5,4.69,,pitch_glossary.shtml#162_avg
