Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2010,22,ATL,NL,4,0,1.000,0.44,21,0,7,0,0,1,20.2,9,2,1,0,16,1,40,0,0,4,88,914,1.53,1.210,3.9,0.0,7.0,17.4,2.50,,-9999
2011,23,ATL,NL,4,3,.571,2.10,79,0,64,0,0,46,77.0,48,19,18,3,32,1,127,1,0,4,306,183,1.52,1.039,5.6,0.4,3.7,14.8,3.97,ASCYA-9MVP-23RoY-1,-9999
2012,24,ATL,NL,3,1,.750,1.01,63,0,56,0,0,42,62.2,27,7,7,3,14,0,116,2,0,5,231,399,0.78,0.654,3.9,0.4,2.0,16.7,8.29,ASCYA-5MVP-8,-9999
2013,25,ATL,NL,4,3,.571,1.21,68,0,60,0,0,50,67.0,39,10,9,4,20,2,98,3,0,3,258,311,1.93,0.881,5.2,0.5,2.7,13.2,4.90,ASCYA-4MVP-11,-9999
2014,26,ATL,NL,0,3,.000,1.61,63,0,54,0,0,47,61.2,30,13,11,2,26,0,95,2,0,6,244,223,1.83,0.908,4.4,0.3,3.8,13.9,3.65,ASCYA-9,-9999
2015,27,SDP,NL,4,2,.667,2.58,61,0,53,0,0,39,59.1,40,19,17,6,22,1,87,1,0,4,239,145,2.68,1.045,6.1,0.9,3.3,13.2,3.95,,-9999
2016,28,BOS,AL,2,6,.250,3.40,57,0,47,0,0,31,53.0,28,22,20,4,30,0,83,4,0,6,220,132,2.92,1.094,4.8,0.7,5.1,14.1,2.77,AS,-9999
2017,29,BOS,AL,5,0,1.000,1.43,67,0,51,0,0,35,69.0,33,11,11,6,14,0,126,4,0,5,254,319,1.42,0.681,4.3,0.8,1.8,16.4,9.00,ASCYA-6,-9999
2018,30,BOS,AL,5,1,.833,2.74,63,0,57,0,0,42,62.1,31,19,19,7,31,0,96,2,0,7,247,161,3.13,0.995,4.5,1.0,4.5,13.9,3.10,AS,-9999
2019,31,CHC,NL,0,4,.000,6.53,23,0,17,0,0,13,20.2,21,15,15,9,12,0,30,2,0,0,96,68,8.00,1.597,9.1,3.9,5.2,13.1,2.50,,-9999
2020,32,CHC,NL,0,1,.000,5.28,18,0,11,0,0,2,15.1,10,9,9,2,12,1,28,2,0,4,69,87,3.97,1.435,5.9,1.2,7.0,16.4,2.33,,-9999
2021,33,TOT,MLB,4,5,.444,2.26,63,0,43,0,0,24,59.2,31,19,15,6,23,1,100,3,1,8,235,191,2.43,0.905,4.7,0.9,3.5,15.1,4.35,AS,-9999
2021,33,CHC,NL,2,3,.400,0.49,39,0,35,0,0,23,36.2,13,6,2,1,13,0,64,0,1,3,137,865,1.10,0.709,3.2,0.2,3.2,15.7,4.92,,-9999
2021,33,CHW,AL,2,2,.500,5.09,24,0,8,0,0,1,23.0,18,13,13,5,10,1,36,3,0,5,98,87,4.56,1.217,7.0,2.0,3.9,14.1,3.60,,-9999
2022,34,LAD,NL,6,7,.462,3.75,63,0,47,0,0,22,60.0,51,31,25,4,28,2,72,5,1,7,260,108,3.23,1.317,7.7,0.6,4.2,10.8,2.57,,-9999
2023,35,PHI,NL,8,6,.571,3.26,71,0,45,0,0,23,69.0,44,28,25,10,28,1,94,4,2,4,278,132,3.81,1.043,5.7,1.3,3.7,12.3,3.36,AS,-9999
14 Yrs,14 Yrs,14 Yrs,14 Yrs,49,42,.538,2.40,780,0,612,0,0,417,757.1,442,224,202,66,308,10,1192,35,4,67,3025,171,2.47,0.990,5.3,0.8,3.7,14.2,3.87,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,4,4,.538,2.40,68,0,53,0,0,36,66,39,20,18,6,27,1,104,3,0,6,264,171,2.47,0.990,5.3,0.8,3.7,14.2,3.87,,pitch_glossary.shtml#162_avg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
ATL (5 yrs),ATL (5 yrs),ATL (5 yrs),ATL (5 yrs),15,10,.600,1.43,294,0,241,0,0,186,289.0,153,51,46,12,108,4,476,8,0,22,1127,266,1.52,0.903,4.8,0.4,3.4,14.8,4.41,,-9999
BOS (3 yrs),BOS (3 yrs),BOS (3 yrs),BOS (3 yrs),12,7,.632,2.44,187,0,155,0,0,108,184.1,92,52,50,17,75,0,305,10,0,18,721,184,2.43,0.906,4.5,0.8,3.7,14.9,4.07,,-9999
CHC (3 yrs),CHC (3 yrs),CHC (3 yrs),CHC (3 yrs),2,8,.200,3.22,80,0,63,0,0,38,72.2,44,30,26,12,37,1,122,4,1,7,302,136,3.67,1.115,5.4,1.5,4.6,15.1,3.30,,-9999
PHI (1 yr),PHI (1 yr),PHI (1 yr),PHI (1 yr),8,6,.571,3.26,71,0,45,0,0,23,69.0,44,28,25,10,28,1,94,4,2,4,278,132,3.81,1.043,5.7,1.3,3.7,12.3,3.36,,-9999
LAD (1 yr),LAD (1 yr),LAD (1 yr),LAD (1 yr),6,7,.462,3.75,63,0,47,0,0,22,60.0,51,31,25,4,28,2,72,5,1,7,260,108,3.23,1.317,7.7,0.6,4.2,10.8,2.57,,-9999
SDP (1 yr),SDP (1 yr),SDP (1 yr),SDP (1 yr),4,2,.667,2.58,61,0,53,0,0,39,59.1,40,19,17,6,22,1,87,1,0,4,239,145,2.68,1.045,6.1,0.9,3.3,13.2,3.95,,-9999
CHW (1 yr),CHW (1 yr),CHW (1 yr),CHW (1 yr),2,2,.500,5.09,24,0,8,0,0,1,23.0,18,13,13,5,10,1,36,3,0,5,98,87,4.56,1.217,7.0,2.0,3.9,14.1,3.60,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
NL (11 yrs),NL (11 yrs),NL (11 yrs),NL (11 yrs),35,33,.515,2.27,569,0,449,0,0,308,550.0,332,159,139,44,223,9,851,22,4,44,2206,174,2.40,1.009,5.4,0.7,3.6,13.9,3.82,,-9999
AL (4 yrs),AL (4 yrs),AL (4 yrs),AL (4 yrs),14,9,.609,2.73,211,0,163,0,0,109,207.1,110,65,63,22,85,1,341,13,0,23,819,164,2.66,0.941,4.8,1.0,3.7,14.8,4.01,,-9999
