Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2013,22,PIT,NL,10,7,.588,3.22,19,19,0,0,0,0,117.1,109,43,42,7,28,0,100,3,0,4,469,111,2.91,1.168,8.4,0.5,2.1,7.7,3.57,,-9999
2014,23,PIT,NL,11,5,.688,3.65,22,22,0,0,0,0,138.0,127,58,56,11,40,1,138,9,1,9,571,99,3.23,1.210,8.3,0.7,2.6,9.0,3.45,,-9999
2015,24,PIT,NL,19,8,.704,2.60,32,32,0,0,0,0,208.0,183,71,60,11,44,1,202,10,0,7,832,149,2.66,1.091,7.9,0.5,1.9,8.7,4.59,ASCYA-4MVP-19,-9999
2016,25,PIT,NL,7,10,.412,3.88,21,21,0,1,0,0,116.0,131,57,50,7,36,3,98,6,1,5,506,107,3.33,1.440,10.2,0.5,2.8,7.6,2.72,,-9999
2017,26,PIT,NL,12,12,.500,4.26,33,33,0,0,0,0,203.0,199,98,96,31,55,1,196,4,0,7,849,100,4.08,1.251,8.8,1.4,2.4,8.7,3.56,,-9999
2018,27,HOU,AL,15,5,.750,2.88,32,32,0,1,1,0,200.1,143,68,64,19,64,0,276,7,0,9,799,144,2.70,1.033,6.4,0.9,2.9,12.4,4.31,ASCYA-5,-9999
2019,28,HOU,AL,20,5,.800,2.50,33,33,0,0,0,0,212.1,142,66,59,29,48,0,326,3,3,4,817,185,2.64,0.895,6.0,1.2,2.0,13.8,6.79,ASCYA-2MVP-10,-9999
2020,29,NYY,AL,7,3,.700,2.84,12,12,0,2,1,0,73.0,53,27,23,14,17,0,94,2,0,2,288,151,3.89,0.959,6.5,1.7,2.1,11.6,5.53,CYA-4,-9999
2021,30,NYY,AL,16,8,.667,3.23,30,30,0,2,1,0,181.1,151,69,65,24,41,0,243,2,1,5,726,133,2.92,1.059,7.5,1.2,2.0,12.1,5.93,ASCYA-2MVP-15,-9999
2022,31,NYY,AL,13,8,.619,3.50,33,33,0,0,0,0,200.2,154,81,78,33,50,0,257,2,2,2,793,112,3.47,1.017,6.9,1.5,2.2,11.5,5.14,ASCYA-9,-9999
2023,32,NYY,AL,15,4,.789,2.63,33,33,0,2,2,0,209.0,157,64,61,20,48,0,222,7,1,4,821,165,3.16,0.981,6.8,0.9,2.1,9.6,4.63,ASCYA-1MVP-11,-9999
11 Yrs,11 Yrs,11 Yrs,11 Yrs,145,75,.659,3.17,300,300,0,8,5,0,1859.0,1549,702,654,206,471,6,2152,55,9,58,7471,130,3.14,1.087,7.5,1.0,2.3,10.4,4.57,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,16,8,.659,3.17,34,34,0,1,1,0,211,176,80,74,23,53,1,244,6,1,7,847,130,3.14,1.087,7.5,1.0,2.3,10.4,4.57,,pitch_glossary.shtml#162_avg
