Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2007,21,CIN,NL,4,2,.667,5.76,9,9,0,0,0,0,45.1,43,32,29,3,28,1,28,3,1,1,205,81,4.92,1.566,8.5,0.6,5.6,5.6,1.00,,-9999
2008,22,CIN,NL,0,6,.000,7.93,8,8,0,0,0,0,36.1,59,36,32,8,17,1,18,0,1,4,180,56,6.41,2.092,14.6,2.0,4.2,4.5,1.06,,-9999
2009,23,CIN,NL,8,5,.615,4.53,20,20,0,0,0,0,113.1,115,61,57,12,52,1,86,3,0,6,496,93,4.41,1.474,9.1,1.0,4.1,6.8,1.65,,-9999
2010,24,CIN,NL,4,3,.571,4.46,19,19,0,1,1,0,109.0,109,55,54,11,40,6,100,3,1,3,465,91,3.74,1.367,9.0,0.9,3.3,8.3,2.50,,-9999
2011,25,CIN,NL,9,7,.563,4.43,22,22,0,0,0,0,132.0,136,68,65,18,33,2,106,5,0,4,561,89,4.06,1.280,9.3,1.2,2.3,7.2,3.21,,-9999
2012,26,CIN,NL,13,10,.565,3.68,33,33,0,2,1,0,208.0,206,97,85,26,52,3,168,8,0,3,874,112,3.97,1.240,8.9,1.1,2.3,7.3,3.23,,-9999
2013,27,CIN,NL,11,12,.478,3.49,32,32,0,2,1,0,209.0,181,85,81,20,54,2,199,10,2,5,849,108,3.31,1.124,7.8,0.9,2.3,8.6,3.69,,-9999
2014,28,CIN,NL,9,5,.643,3.71,23,23,0,1,1,0,145.2,134,60,60,16,45,1,124,7,1,5,604,99,3.93,1.229,8.3,1.0,2.8,7.7,2.76,,-9999
2015,29,CIN,NL,0,1,.000,5.56,2,2,0,0,0,0,11.1,16,7,7,3,4,2,3,0,0,0,51,73,7.10,1.765,12.7,2.4,3.2,2.4,0.75,,-9999
2016,30,CIN,NL,2,3,.400,6.65,6,6,0,0,0,0,23.0,35,19,17,2,7,0,27,2,0,1,111,65,3.10,1.826,13.7,0.8,2.7,10.6,3.86,,-9999
2017,31,CIN,NL,6,9,.400,6.43,18,18,0,0,0,0,91.0,112,67,65,11,42,2,67,8,0,4,420,70,4.91,1.692,11.1,1.1,4.2,6.6,1.60,,-9999
2018,32,CIN,NL,1,14,.067,6.09,20,20,0,1,0,0,106.1,141,82,72,23,33,9,75,2,1,2,494,68,5.55,1.636,11.9,1.9,2.8,6.3,2.27,,-9999
2019,33,TOT,AL,13,9,.591,4.57,31,31,0,0,0,0,163.1,162,84,83,21,53,1,149,4,1,4,696,100,4.11,1.316,8.9,1.2,2.9,8.2,2.81,,-9999
2019,33,KCR,AL,7,6,.538,4.80,18,18,0,0,0,0,90.0,89,49,48,12,38,0,81,2,0,2,389,99,4.48,1.411,8.9,1.2,3.8,8.1,2.13,,-9999
2019,33,OAK,AL,6,3,.667,4.30,13,13,0,0,0,0,73.1,73,35,35,9,15,1,68,2,1,2,307,100,3.65,1.200,9.0,1.1,1.8,8.3,4.53,,-9999
2020,34,MIN,AL,1,0,1.000,3.38,2,2,0,0,0,0,8.0,6,3,3,1,3,0,7,1,0,0,33,133,4.57,1.125,6.8,1.1,3.4,7.9,2.33,,-9999
14 Yrs,14 Yrs,14 Yrs,14 Yrs,81,86,.485,4.56,245,245,0,7,4,0,1401.2,1455,756,710,175,463,31,1157,56,8,42,6039,90,4.20,1.368,9.3,1.1,3.0,7.4,2.50,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,11,12,.485,4.56,34,34,0,1,1,0,195,202,105,99,24,64,4,161,8,1,6,838,90,4.20,1.368,9.3,1.1,3.0,7.4,2.50,,pitch_glossary.shtml#162_avg
