Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2013,26,LAD,NL,14,8,.636,3.00,30,30,0,2,1,0,192.0,182,67,64,15,49,4,154,1,0,5,783,119,3.24,1.203,8.5,0.7,2.3,7.2,3.14,RoY-4,-9999
2014,27,LAD,NL,14,7,.667,3.38,26,26,0,0,0,0,152.0,152,60,57,8,29,2,139,3,0,2,631,103,2.62,1.191,9.0,0.5,1.7,8.2,4.79,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
2016,29,LAD,NL,0,1,.000,11.57,1,1,0,0,0,0,4.2,8,6,6,1,2,1,4,0,0,0,24,37,5.50,2.143,15.4,1.9,3.9,7.7,2.00,,-9999
2017,30,LAD,NL,5,9,.357,3.77,25,24,1,0,0,1,126.2,128,58,53,22,45,3,116,4,1,4,541,110,4.74,1.366,9.1,1.6,3.2,8.2,2.58,,-9999
2018,31,LAD,NL,7,3,.700,1.97,15,15,0,0,0,0,82.1,68,23,18,9,15,1,89,1,0,0,324,198,3.00,1.008,7.4,1.0,1.6,9.7,5.93,,-9999
2019,32,LAD,NL,14,5,.737,2.32,29,29,0,1,1,0,182.2,160,53,47,17,24,2,163,4,0,0,723,179,3.10,1.007,7.9,0.8,1.2,8.0,6.79,ASCYA-2MVP-19,-9999
2020,33,TOR,AL,5,2,.714,2.69,12,12,0,0,0,0,67.0,60,22,20,6,17,0,72,1,0,1,275,164,3.01,1.149,8.1,0.8,2.3,9.7,4.24,CYA-3MVP-13,-9999
2021,34,TOR,AL,14,10,.583,4.37,31,31,0,1,1,0,169.0,170,85,82,24,37,0,143,2,0,2,701,102,4.02,1.225,9.1,1.3,2.0,7.6,3.86,,-9999
2022,35,TOR,AL,2,0,1.000,5.67,6,6,0,0,0,0,27.0,32,17,17,5,4,0,16,0,0,0,113,69,4.78,1.333,10.7,1.7,1.3,5.3,4.00,,-9999
2023,36,TOR,AL,3,3,.500,3.46,11,11,0,0,0,0,52.0,53,25,20,9,14,0,38,1,0,1,224,123,4.91,1.288,9.2,1.6,2.4,6.6,2.71,,-9999
10 Yrs,10 Yrs,10 Yrs,10 Yrs,78,48,.619,3.27,186,185,1,4,3,1,1055.1,1013,416,384,116,236,13,934,17,1,15,4339,122,3.53,1.184,8.6,1.0,2.0,8.0,3.96,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,14,9,.619,3.27,34,34,0,1,1,0,193,186,76,70,21,43,2,171,3,0,3,795,122,3.53,1.184,8.6,1.0,2.0,8.0,3.96,,pitch_glossary.shtml#162_avg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
LAD (6 yrs),LAD (6 yrs),LAD (6 yrs),LAD (6 yrs),54,33,.621,2.98,126,125,1,3,2,1,740.1,698,267,245,72,164,13,665,13,1,11,3026,129,3.32,1.164,8.5,0.9,2.0,8.1,4.05,,-9999
TOR (4 yrs),TOR (4 yrs),TOR (4 yrs),TOR (4 yrs),24,15,.615,3.97,60,60,0,1,1,0,315.0,315,149,139,44,72,0,269,4,0,4,1313,110,4.02,1.229,9.0,1.3,2.1,7.7,3.74,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
NL (6 yrs),NL (6 yrs),NL (6 yrs),NL (6 yrs),54,33,.621,2.98,126,125,1,3,2,1,740.1,698,267,245,72,164,13,665,13,1,11,3026,129,3.32,1.164,8.5,0.9,2.0,8.1,4.05,,-9999
AL (4 yrs),AL (4 yrs),AL (4 yrs),AL (4 yrs),24,15,.615,3.97,60,60,0,1,1,0,315.0,315,149,139,44,72,0,269,4,0,4,1313,110,4.02,1.229,9.0,1.3,2.1,7.7,3.74,,-9999
