Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2014,26,NYM,NL,9,6,.600,2.69,22,22,0,0,0,0,140.1,117,44,42,7,43,2,144,1,0,1,565,128,2.67,1.140,7.5,0.4,2.8,9.2,3.35,RoY-1,-9999
2015,27,NYM,NL,14,8,.636,2.54,30,30,0,0,0,0,191.0,149,59,54,16,38,2,205,2,0,6,751,149,2.70,0.979,7.0,0.8,1.8,9.7,5.39,ASCYA-7,-9999
2016,28,NYM,NL,7,8,.467,3.04,24,24,0,1,1,0,148.0,142,53,50,15,36,0,143,3,0,4,604,132,3.32,1.203,8.6,0.9,2.2,8.7,3.97,,-9999
2017,29,NYM,NL,15,10,.600,3.53,31,31,0,1,0,0,201.1,180,87,79,28,59,5,239,2,0,7,827,117,3.50,1.187,8.0,1.3,2.6,10.7,4.05,CYA-8,-9999
2018,30,NYM,NL,10,9,.526,1.70,32,32,0,1,0,0,217.0,152,48,41,10,46,3,269,5,0,2,835,218,1.98,0.912,6.3,0.4,1.9,11.2,5.85,ASCYA-1MVP-5,-9999
2019,31,NYM,NL,11,8,.579,2.43,32,32,0,0,0,0,204.0,154,59,55,19,44,1,255,7,0,2,804,169,2.67,0.971,6.8,0.8,1.9,11.3,5.80,ASCYA-1MVP-10,-9999
2020,32,NYM,NL,4,2,.667,2.38,12,12,0,0,0,0,68.0,47,21,18,7,18,0,104,0,0,4,268,180,2.26,0.956,6.2,0.9,2.4,13.8,5.78,CYA-3,-9999
2021,33,NYM,NL,7,2,.778,1.08,15,15,0,1,1,0,92.0,40,14,11,6,11,0,146,1,0,0,324,373,1.24,0.554,3.9,0.6,1.1,14.3,13.27,ASCYA-9,-9999
2022,34,NYM,NL,5,4,.556,3.08,11,11,0,0,0,0,64.1,40,22,22,9,8,0,102,0,0,0,239,126,2.13,0.746,5.6,1.3,1.1,14.3,12.75,,-9999
2023,35,TEX,AL,2,0,1.000,2.67,6,6,0,0,0,0,30.1,19,11,9,2,4,0,45,0,0,1,115,169,1.54,0.758,5.6,0.6,1.2,13.4,11.25,,-9999
10 Yrs,10 Yrs,10 Yrs,10 Yrs,84,57,.596,2.53,215,215,0,4,2,0,1356.1,1040,418,381,119,307,13,1652,21,0,27,5332,155,2.59,0.993,6.9,0.8,2.0,11.0,5.38,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,13,9,.596,2.53,34,34,0,1,0,0,214,164,66,60,19,49,2,261,3,0,4,843,155,2.59,0.993,6.9,0.8,2.0,11.0,5.38,,pitch_glossary.shtml#162_avg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
NYM (9 yrs),NYM (9 yrs),NYM (9 yrs),NYM (9 yrs),82,57,.590,2.52,209,209,0,4,2,0,1326.0,1021,407,372,117,303,13,1607,21,0,26,5217,155,2.62,0.998,6.9,0.8,2.1,10.9,5.30,,-9999
TEX (1 yr),TEX (1 yr),TEX (1 yr),TEX (1 yr),2,0,1.000,2.67,6,6,0,0,0,0,30.1,19,11,9,2,4,0,45,0,0,1,115,169,1.54,0.758,5.6,0.6,1.2,13.4,11.25,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
NL (9 yrs),NL (9 yrs),NL (9 yrs),NL (9 yrs),82,57,.590,2.52,209,209,0,4,2,0,1326.0,1021,407,372,117,303,13,1607,21,0,26,5217,155,2.62,0.998,6.9,0.8,2.1,10.9,5.30,,-9999
AL (1 yr),AL (1 yr),AL (1 yr),AL (1 yr),2,0,1.000,2.67,6,6,0,0,0,0,30.1,19,11,9,2,4,0,45,0,0,1,115,169,1.54,0.758,5.6,0.6,1.2,13.4,11.25,,-9999
