Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2010,24,BAL,AL,6,6,.500,4.66,18,18,0,0,0,0,100.1,106,57,52,9,48,3,52,4,0,5,449,89,4.76,1.535,9.5,0.8,4.3,4.7,1.08,,-9999
2011,25,BAL,AL,10,8,.556,5.05,22,22,0,0,0,0,119.1,115,70,67,21,59,2,93,4,0,0,523,83,5.34,1.458,8.7,1.6,4.4,7.0,1.58,,-9999
2012,26,BAL,AL,3,9,.250,6.20,24,18,1,0,0,0,114.2,122,82,79,16,35,3,109,5,0,4,496,68,4.05,1.369,9.6,1.3,2.7,8.6,3.11,,-9999
2013,27,TOT,MLB,5,4,.556,4.78,14,14,0,0,0,0,75.1,59,41,40,9,41,1,60,5,0,1,324,83,4.84,1.327,7.0,1.1,4.9,7.2,1.46,,-9999
2013,27,BAL,AL,1,2,.333,7.23,5,5,0,0,0,0,23.2,25,19,19,2,17,1,23,2,0,1,111,57,4.61,1.775,9.5,0.8,6.5,8.7,1.35,,-9999
2013,27,CHC,NL,4,2,.667,3.66,9,9,0,0,0,0,51.2,34,22,21,7,24,0,37,3,0,0,213,106,4.94,1.123,5.9,1.2,4.2,6.4,1.54,,-9999
2014,28,CHC,NL,10,5,.667,2.53,25,25,0,1,1,0,156.2,114,46,44,5,41,2,167,3,0,8,614,150,2.26,0.989,6.5,0.3,2.4,9.6,4.07,CYA-9,-9999
2015,29,CHC,NL,22,6,.786,1.77,33,33,0,4,3,0,229.0,150,52,45,10,48,2,236,6,0,6,870,215,2.35,0.865,5.9,0.4,1.9,9.3,4.92,CYA-1MVP-6,-9999
2016,30,CHC,NL,18,8,.692,3.10,31,31,0,1,1,0,197.1,138,72,68,16,76,1,190,6,0,16,795,135,3.52,1.084,6.3,0.7,3.5,8.7,2.50,ASCYA-9SS,-9999
2017,31,CHC,NL,14,10,.583,3.53,30,30,0,0,0,0,168.1,150,82,66,23,55,3,163,10,0,14,707,124,4.16,1.218,8.0,1.2,2.9,8.7,2.96,,-9999
2018,32,PHI,NL,10,11,.476,3.96,31,31,0,0,0,0,172.2,165,93,76,21,57,0,138,7,1,11,724,104,4.25,1.286,8.6,1.1,3.0,7.2,2.42,,-9999
2019,33,PHI,NL,8,8,.500,4.64,24,24,0,0,0,0,135.2,149,76,70,21,51,3,110,7,0,7,594,96,4.89,1.474,9.9,1.4,3.4,7.3,2.16,,-9999
2020,34,PHI,NL,4,4,.500,5.08,9,9,0,0,0,0,44.1,51,25,25,6,16,0,32,1,0,4,190,89,4.66,1.511,10.4,1.2,3.2,6.5,2.00,,-9999
2021,35,TOT,NL,5,14,.263,7.39,24,24,0,0,0,0,98.2,131,91,81,24,44,3,83,6,0,3,469,57,6.17,1.774,11.9,2.2,4.0,7.6,1.89,,-9999
2021,35,CHC,NL,5,11,.313,6.88,20,20,0,0,0,0,86.1,113,75,66,21,39,3,74,4,0,3,409,61,6.11,1.761,11.8,2.2,4.1,7.7,1.90,,-9999
2021,35,SDP,NL,0,3,.000,10.95,4,4,0,0,0,0,12.1,18,16,15,3,5,0,9,2,0,0,60,36,6.58,1.865,13.1,2.2,3.6,6.6,1.80,,-9999
12 Yrs,12 Yrs,12 Yrs,12 Yrs,115,93,.553,3.98,285,279,1,6,5,0,1612.1,1450,787,713,181,571,23,1433,64,1,79,6755,104,4.00,1.253,8.1,1.0,3.2,8.0,2.51,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,14,11,.553,3.98,34,34,0,1,1,0,194,175,95,86,22,69,3,173,8,0,10,814,104,4.00,1.253,8.1,1.0,3.2,8.0,2.51,,pitch_glossary.shtml#162_avg
