Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2010,23,TBR,AL,0,0,,1.80,8,0,3,0,0,0,5.0,2,1,1,0,3,0,6,0,0,0,20,233,2.48,1.000,3.6,0.0,5.4,10.8,2.00,,-9999
2011,24,TBR,AL,5,2,.714,4.50,37,0,9,0,0,0,28.0,30,14,14,5,12,1,27,0,0,0,124,85,4.70,1.500,9.6,1.6,3.9,8.7,2.25,,-9999
2012,25,TBR,AL,5,2,.714,1.95,69,0,13,0,0,0,55.1,33,13,12,3,11,4,73,1,0,3,212,198,1.81,0.795,5.4,0.5,1.8,11.9,6.64,,-9999
2013,26,TBR,AL,5,3,.625,4.02,71,0,6,0,0,1,62.2,52,28,28,8,22,5,75,1,0,4,260,96,3.42,1.181,7.5,1.1,3.2,10.8,3.41,,-9999
2014,27,TBR,AL,5,2,.714,1.89,73,0,31,0,0,19,71.1,48,15,15,2,16,1,90,2,0,1,274,197,1.73,0.897,6.1,0.3,2.0,11.4,5.63,,-9999
2015,28,TBR,AL,1,2,.333,2.41,39,0,6,0,0,6,37.1,27,11,10,3,8,1,48,1,0,1,147,163,2.33,0.938,6.5,0.7,1.9,11.6,6.00,,-9999
2016,29,COL,NL,2,3,.400,4.73,57,0,25,0,0,15,45.2,56,25,24,9,16,1,38,3,0,4,205,103,5.29,1.577,11.0,1.8,3.2,7.5,2.38,,-9999
2017,30,COL,NL,0,2,.000,3.61,62,0,13,0,0,3,57.1,47,23,23,4,16,0,58,1,0,5,229,140,2.93,1.099,7.4,0.6,2.5,9.1,3.63,,-9999
2018,31,COL,NL,2,4,.333,6.49,61,0,9,0,0,1,51.1,59,39,37,10,16,1,47,2,0,5,227,73,4.91,1.461,10.3,1.8,2.8,8.2,2.94,,-9999
2019,32,COL,NL,0,2,.000,4.35,45,0,10,0,0,0,41.1,47,25,20,11,11,1,35,3,1,0,180,119,6.00,1.403,10.2,2.4,2.4,7.6,3.18,,-9999
2020,33,LAD,NL,3,1,.750,2.66,24,0,4,0,0,0,20.1,14,6,6,2,3,0,33,0,0,0,79,167,1.67,0.836,6.2,0.9,1.3,14.6,11.00,,-9999
2021,34,SFG,NL,3,2,.600,2.72,62,0,42,0,0,31,59.2,44,25,18,7,10,1,58,2,0,0,239,153,3.35,0.905,6.6,1.1,1.5,8.7,5.80,,-9999
2022,35,TOT,NL,1,3,.250,6.81,42,0,11,0,0,3,37.0,41,29,28,6,12,1,25,0,0,1,163,60,4.84,1.432,10.0,1.5,2.9,6.1,2.08,,-9999
2022,35,SFG,NL,1,2,.333,7.17,24,0,8,0,0,3,21.1,27,18,17,2,6,1,11,0,0,1,96,56,4.14,1.547,11.4,0.8,2.5,4.6,1.83,,-9999
2022,35,MIL,NL,0,0,,6.35,6,0,0,0,0,0,5.2,7,4,4,2,1,0,4,0,0,0,25,67,6.82,1.412,11.1,3.2,1.6,6.4,4.00,,-9999
2022,35,WSN,NL,0,1,.000,6.30,12,0,3,0,0,0,10.0,7,7,7,2,5,0,10,0,0,0,42,65,5.21,1.200,6.3,1.8,4.5,9.0,2.00,,-9999
13 Yrs,13 Yrs,13 Yrs,13 Yrs,32,28,.533,3.71,650,0,182,0,0,79,572.1,500,254,236,70,156,17,613,16,1,24,2359,116,3.48,1.146,7.9,1.1,2.5,9.6,3.93,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,3,3,.533,3.71,68,0,19,0,0,8,60,52,27,25,7,16,2,64,2,0,3,247,116,3.48,1.146,7.9,1.1,2.5,9.6,3.93,,pitch_glossary.shtml#162_avg
