Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2006,24,TBD,AL,6,8,.429,4.84,21,21,0,1,0,0,124.2,141,69,67,18,38,5,104,5,0,9,540,95,4.39,1.436,10.2,1.3,2.7,7.5,2.74,,-9999
2007,25,TBD,AL,12,8,.600,3.85,31,31,0,1,0,0,215.0,202,98,92,28,36,0,184,10,0,9,874,117,3.86,1.107,8.5,1.2,1.5,7.7,5.11,,-9999
2008,26,TBR,AL,14,8,.636,3.56,33,33,0,3,2,0,215.0,208,94,85,24,40,0,160,12,0,6,877,124,3.82,1.153,8.7,1.0,1.7,6.7,4.00,,-9999
2009,27,TBR,AL,11,12,.478,4.14,33,33,0,0,0,0,219.2,239,113,101,29,52,1,167,1,1,3,930,105,4.02,1.325,9.8,1.2,2.1,6.8,3.21,,-9999
2010,28,TBR,AL,13,15,.464,5.18,34,33,0,0,0,0,203.1,246,128,117,34,51,2,187,5,2,13,899,75,4.24,1.461,10.9,1.5,2.3,8.3,3.67,,-9999
2011,29,TBR,AL,16,12,.571,2.82,33,33,0,11,4,0,249.1,195,83,78,26,65,1,225,5,0,4,975,134,3.42,1.043,7.0,0.9,2.3,8.1,3.46,ASCYA-3MVP-16,-9999
2012,30,TBR,AL,15,10,.600,3.52,33,33,0,3,2,0,227.2,208,103,89,25,58,2,223,11,1,7,944,109,3.47,1.168,8.2,1.0,2.3,8.8,3.84,,-9999
2013,31,KCR,AL,13,9,.591,3.15,34,34,0,2,0,0,228.2,215,82,80,20,68,0,196,8,2,11,946,131,3.47,1.238,8.5,0.8,2.7,7.7,2.88,CYA-11,-9999
2014,32,KCR,AL,14,8,.636,3.21,34,34,0,1,1,0,227.0,224,95,81,23,44,0,180,11,2,12,939,123,3.59,1.181,8.9,0.9,1.7,7.1,4.09,MVP-18,-9999
2015,33,SDP,NL,13,7,.650,3.91,33,33,0,0,0,0,202.1,189,93,88,33,81,5,216,9,1,7,860,95,4.45,1.334,8.4,1.5,3.6,9.6,2.67,,-9999
2016,34,TOT,MLB,6,19,.240,5.85,33,33,0,1,0,0,181.2,208,122,118,40,82,3,135,8,0,10,822,69,6.01,1.596,10.3,2.0,4.1,6.7,1.65,,-9999
2016,34,SDP,NL,2,7,.222,4.28,11,11,0,0,0,0,67.1,69,33,32,9,27,2,57,1,0,3,284,93,4.44,1.426,9.2,1.2,3.6,7.6,2.11,,-9999
2016,34,CHW,AL,4,12,.250,6.77,22,22,0,1,0,0,114.1,139,89,86,31,55,1,78,7,0,7,538,60,6.93,1.697,10.9,2.4,4.3,6.1,1.42,,-9999
2017,35,CHW,AL,5,7,.417,5.23,21,21,0,0,0,0,117.0,116,72,68,27,53,3,103,3,0,5,516,82,5.83,1.444,8.9,2.1,4.1,7.9,1.94,,-9999
2018,36,CHW,AL,7,16,.304,4.53,34,33,1,0,0,0,204.2,190,115,103,34,78,0,154,9,1,11,871,93,5.09,1.309,8.4,1.5,3.4,6.8,1.97,,-9999
13 Yrs,13 Yrs,13 Yrs,13 Yrs,145,139,.511,4.01,407,405,1,23,9,0,2616.0,2581,1267,1167,361,746,22,2234,97,10,107,10993,102,4.17,1.272,8.9,1.2,2.6,7.7,2.99,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,12,12,.511,4.01,34,34,0,2,1,0,219,216,106,98,30,62,2,187,8,1,9,921,102,4.17,1.272,8.9,1.2,2.6,7.7,2.99,,pitch_glossary.shtml#162_avg
