Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2004,21,MIN,AL,35,122,107,18,33,8,1,6,17,1,0,11,14,.308,.369,.570,.939,138,61,1,1,0,3,0,2/HD,,-9999
2005,22,MIN,AL,131,554,489,61,144,26,2,9,55,13,1,61,64,.294,.372,.411,.783,107,201,9,1,0,3,12,*2D/H,,-9999
2006,23,MIN,AL,140,608,521,86,181,36,4,13,84,8,3,79,54,.347,.429,.507,.936,144,264,24,1,0,7,21,*2D/H,ASMVP-6SS,-9999
2007,24,MIN,AL,109,471,406,62,119,27,3,7,60,7,1,57,51,.293,.382,.426,.808,118,173,11,3,2,3,10,2D/H,,-9999
2008,25,MIN,AL,146,633,536,98,176,31,4,9,85,1,1,84,50,.328,.413,.451,.864,134,242,21,1,1,11,8,*2/HD,ASMVP-4GGSS,-9999
2009,26,MIN,AL,138,606,523,94,191,30,1,28,96,4,1,76,63,.365,.444,.587,1.031,171,307,13,2,0,5,14,*2D/H,ASMVP-1GGSS,-9999
2010,27,MIN,AL,137,584,510,88,167,43,1,9,75,1,4,65,53,.327,.402,.469,.871,140,239,19,3,0,6,14,*2D/H,ASMVP-8GGSS,-9999
2011,28,MIN,AL,82,333,296,38,85,15,0,3,30,0,0,32,38,.287,.360,.368,.729,102,109,9,3,0,2,7,23D/H9,,-9999
2012,29,MIN,AL,147,641,545,81,174,31,4,10,85,8,4,90,88,.319,.416,.446,.861,140,243,23,2,1,3,10,2D3/H,ASMVP-19,-9999
2013,30,MIN,AL,113,508,445,62,144,35,0,11,47,0,1,61,89,.324,.404,.476,.880,142,212,7,0,0,2,7,2D/3H,ASSS,-9999
2014,31,MIN,AL,120,518,455,60,126,27,2,4,55,3,0,60,96,.277,.361,.371,.732,107,169,12,1,0,2,12,3D/H,,-9999
2015,32,MIN,AL,158,666,592,69,157,34,2,10,66,2,1,67,112,.265,.338,.380,.718,98,225,22,1,1,5,12,*3D/H,,-9999
2016,33,MIN,AL,134,576,494,68,129,22,4,11,49,2,0,79,93,.261,.363,.389,.752,104,192,11,1,0,2,10,3D/H,,-9999
2017,34,MIN,AL,141,597,525,69,160,36,1,7,71,2,1,66,83,.305,.384,.417,.801,115,219,17,3,0,3,3,*3D/H,,-9999
2018,35,MIN,AL,127,543,486,64,137,27,1,6,48,0,1,51,86,.282,.351,.379,.729,100,184,9,2,1,3,5,3DH/29,,-9999
15 Yrs,15 Yrs,15 Yrs,15 Yrs,1858,7960,6930,1018,2123,428,30,143,923,52,19,939,1034,.306,.388,.439,.827,124,3040,208,25,6,60,145,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,694,604,89,185,37,3,12,80,5,2,82,90,.306,.388,.439,.827,124,265,18,2,1,5,13,,,bat_glossary.shtml#162_avg
