Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2000,21,MIN,AL,2,3,.400,6.49,30,5,9,0,0,0,86.0,102,64,62,11,54,0,64,2,2,5,398,80,5.26,1.814,10.7,1.2,5.7,6.7,1.19,,-9999
2001,22,MIN,AL,1,0,1.000,4.74,15,4,5,0,0,0,43.2,50,25,23,6,16,0,28,3,0,3,195,96,4.86,1.511,10.3,1.2,3.3,5.8,1.75,,-9999
2002,23,MIN,AL,8,6,.571,2.99,27,14,2,0,0,1,108.1,84,41,36,7,49,0,137,1,2,15,452,150,2.66,1.228,7.0,0.6,4.1,11.4,2.80,,-9999
2003,24,MIN,AL,12,3,.800,3.07,45,18,7,0,0,0,158.1,127,56,54,17,47,1,169,3,2,6,644,148,3.24,1.099,7.2,1.0,2.7,9.6,3.60,CYA-7,-9999
2004,25,MIN,AL,20,6,.769,2.61,34,34,0,1,1,0,228.0,156,70,66,24,54,0,265,9,0,7,881,182,2.92,0.921,6.2,0.9,2.1,10.5,4.91,CYA-1MVP-6,-9999
2005,26,MIN,AL,16,7,.696,2.87,33,33,0,3,2,0,231.2,180,77,74,22,45,1,238,1,0,8,910,155,2.80,0.971,7.0,0.9,1.7,9.2,5.29,ASCYA-3,-9999
2006,27,MIN,AL,19,6,.760,2.77,34,34,0,1,0,0,233.2,186,79,72,24,47,0,245,4,1,4,923,162,3.04,0.997,7.2,0.9,1.8,9.4,5.21,ASCYA-1MVP-7,-9999
2007,28,MIN,AL,15,13,.536,3.33,33,33,0,1,1,0,219.0,183,88,81,33,52,0,235,4,1,7,878,129,3.82,1.073,7.5,1.4,2.1,9.7,4.52,ASCYA-5GG,-9999
2008,29,NYM,NL,16,7,.696,2.53,34,34,0,3,2,0,234.1,206,74,66,23,63,5,206,4,2,9,964,166,3.51,1.148,7.9,0.9,2.4,7.9,3.27,CYA-3MVP-14,-9999
2009,30,NYM,NL,13,9,.591,3.13,25,25,0,0,0,0,166.2,156,67,58,20,46,3,146,3,0,1,701,130,3.79,1.212,8.4,1.1,2.5,7.9,3.17,AS,-9999
2010,31,NYM,NL,11,9,.550,2.98,29,29,0,4,2,0,199.0,179,67,66,16,55,2,144,2,2,2,817,131,3.54,1.176,8.1,0.7,2.5,6.5,2.62,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
2012,33,NYM,NL,6,9,.400,4.85,21,21,0,2,2,0,117.0,117,65,63,17,39,1,111,0,0,1,499,79,4.09,1.333,9.0,1.3,3.0,8.5,2.85,,-9999
12 Yrs,12 Yrs,12 Yrs,12 Yrs,139,78,.641,3.20,360,284,23,15,10,1,2025.2,1726,773,721,220,567,13,1988,36,12,68,8262,136,3.44,1.132,7.7,1.0,2.5,8.8,3.51,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,15,8,.641,3.20,38,30,2,2,1,0,214,182,82,76,23,60,1,210,4,1,7,872,136,3.44,1.132,7.7,1.0,2.5,8.8,3.51,,pitch_glossary.shtml#162_avg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
MIN (8 yrs),MIN (8 yrs),MIN (8 yrs),MIN (8 yrs),93,44,.679,3.22,251,175,23,6,4,1,1308.2,1068,500,468,144,364,2,1381,27,8,55,5281,141,3.31,1.094,7.3,1.0,2.5,9.5,3.79,,-9999
NYM (4 yrs),NYM (4 yrs),NYM (4 yrs),NYM (4 yrs),46,34,.575,3.18,109,109,0,9,6,0,717.0,658,273,253,76,203,11,607,9,4,13,2981,127,3.67,1.201,8.3,1.0,2.5,7.6,2.99,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
AL (8 yrs),AL (8 yrs),AL (8 yrs),AL (8 yrs),93,44,.679,3.22,251,175,23,6,4,1,1308.2,1068,500,468,144,364,2,1381,27,8,55,5281,141,3.31,1.094,7.3,1.0,2.5,9.5,3.79,,-9999
NL (4 yrs),NL (4 yrs),NL (4 yrs),NL (4 yrs),46,34,.575,3.18,109,109,0,9,6,0,717.0,658,273,253,76,203,11,607,9,4,13,2981,127,3.67,1.201,8.3,1.0,2.5,7.6,2.99,,-9999
