Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2008,22,CIN,NL,9,14,.391,4.81,31,31,0,0,0,0,174.0,178,101,93,29,68,1,158,14,1,6,769,91,4.90,1.414,9.2,1.5,3.5,8.2,2.32,,-9999
2009,23,CIN,NL,11,11,.500,4.41,30,30,0,0,0,0,171.1,172,90,84,24,61,0,132,14,0,4,740,95,4.69,1.360,9.0,1.3,3.2,6.9,2.16,,-9999
2010,24,CIN,NL,12,7,.632,3.64,31,31,0,1,1,0,185.2,181,79,75,19,56,5,138,9,2,5,780,112,3.97,1.276,8.8,0.9,2.7,6.7,2.46,,-9999
2011,25,CIN,NL,9,5,.643,2.31,24,24,0,3,1,0,156.0,123,51,40,8,47,0,104,10,1,5,631,171,3.45,1.090,7.1,0.5,2.7,6.0,2.21,,-9999
2012,26,CIN,NL,19,9,.679,2.78,33,33,0,2,0,0,217.0,205,73,67,15,49,5,170,12,3,1,888,148,3.27,1.171,8.5,0.6,2.0,7.1,3.47,CYA-4MVP-30,-9999
2013,27,CIN,NL,5,2,.714,2.82,11,11,0,0,0,0,60.2,46,20,19,7,18,1,51,1,0,1,242,135,3.81,1.055,6.8,1.0,2.7,7.6,2.83,,-9999
2014,28,CIN,NL,20,9,.690,2.25,34,34,0,4,2,0,243.2,169,69,61,22,65,2,242,15,1,1,961,163,3.30,0.960,6.2,0.8,2.4,8.9,3.72,ASCYA-2MVP-12,-9999
2015,29,TOT,MLB,11,13,.458,3.44,32,32,0,2,2,0,212.0,194,87,81,21,46,1,176,8,4,0,866,118,3.53,1.132,8.2,0.9,2.0,7.5,3.83,,-9999
2015,29,CIN,NL,7,6,.538,2.62,19,19,0,1,1,0,130.2,93,42,38,11,29,1,120,6,4,0,516,151,3.20,0.934,6.4,0.8,2.0,8.3,4.14,,-9999
2015,29,KCR,AL,4,7,.364,4.76,13,13,0,1,1,0,81.1,101,45,43,10,17,0,56,2,0,0,350,88,4.06,1.451,11.2,1.1,1.9,6.2,3.29,,-9999
2016,30,SFG,NL,18,5,.783,2.79,32,32,0,5,2,0,219.2,195,71,68,15,45,1,198,8,1,3,881,144,2.95,1.093,8.0,0.6,1.8,8.1,4.40,ASCYA-6MVP-26,-9999
2017,31,SFG,NL,8,8,.500,4.52,25,25,0,0,0,0,147.1,160,77,74,22,53,2,136,8,1,4,648,94,4.50,1.446,9.8,1.3,3.2,8.3,2.57,,-9999
2018,32,SFG,NL,3,2,.600,3.23,9,9,0,0,0,0,53.0,46,19,19,8,13,0,38,5,0,2,214,118,4.71,1.113,7.8,1.4,2.2,6.5,2.92,,-9999
2019,33,SFG,NL,1,2,.333,5.06,4,4,0,0,0,0,16.0,11,9,9,3,9,0,13,0,0,1,67,84,5.71,1.250,6.2,1.7,5.1,7.3,1.44,,-9999
2020,34,SFG,NL,2,3,.400,5.40,12,12,0,0,0,0,63.1,61,41,38,9,26,0,56,3,2,1,277,79,4.64,1.374,8.7,1.3,3.7,8.0,2.15,,-9999
2021,35,SFG,NL,7,7,.500,4.08,22,21,0,0,0,0,114.2,127,57,52,15,30,1,98,4,0,0,490,101,4.05,1.369,10.0,1.2,2.4,7.7,3.27,,-9999
2022,36,CHW,AL,8,10,.444,3.35,25,24,0,1,0,0,158.1,161,66,59,15,33,2,102,6,1,2,651,118,3.79,1.225,9.2,0.9,1.9,5.8,3.09,,-9999
2023,37,MIA,NL,1,4,.200,6.02,13,10,1,0,0,0,52.1,51,36,35,17,15,0,39,3,0,0,218,75,7.02,1.261,8.8,2.9,2.6,6.7,2.60,,-9999
16 Yrs,16 Yrs,16 Yrs,16 Yrs,144,111,.565,3.50,368,363,1,18,8,0,2245.0,2080,946,874,249,634,21,1851,120,17,36,9323,116,3.92,1.209,8.3,1.0,2.5,7.4,2.92,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,13,10,.565,3.50,34,34,0,2,1,0,209,193,88,81,23,59,2,172,11,2,3,867,116,3.92,1.209,8.3,1.0,2.5,7.4,2.92,,pitch_glossary.shtml#162_avg
CIN (8 yrs),CIN (8 yrs),CIN (8 yrs),CIN (8 yrs),92,63,.594,3.21,213,213,0,11,5,0,1339.0,1167,525,477,135,393,15,1115,81,12,23,5527,126,3.81,1.165,7.8,0.9,2.6,7.5,2.84,,-9999
SFG (6 yrs),SFG (6 yrs),SFG (6 yrs),SFG (6 yrs),39,27,.591,3.81,104,103,0,5,2,0,614.0,600,274,260,72,176,4,539,28,4,11,2577,108,3.93,1.264,8.8,1.1,2.6,7.9,3.06,,-9999
KCR (1 yr),KCR (1 yr),KCR (1 yr),KCR (1 yr),4,7,.364,4.76,13,13,0,1,1,0,81.1,101,45,43,10,17,0,56,2,0,0,350,88,4.06,1.451,11.2,1.1,1.9,6.2,3.29,,-9999
MIA (1 yr),MIA (1 yr),MIA (1 yr),MIA (1 yr),1,4,.200,6.02,13,10,1,0,0,0,52.1,51,36,35,17,15,0,39,3,0,0,218,75,7.02,1.261,8.8,2.9,2.6,6.7,2.60,,-9999
CHW (1 yr),CHW (1 yr),CHW (1 yr),CHW (1 yr),8,10,.444,3.35,25,24,0,1,0,0,158.1,161,66,59,15,33,2,102,6,1,2,651,118,3.79,1.225,9.2,0.9,1.9,5.8,3.09,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
NL (15 yrs),NL (15 yrs),NL (15 yrs),NL (15 yrs),132,94,.584,3.46,330,326,1,16,7,0,2005.1,1818,835,772,224,584,19,1693,112,16,34,8322,117,3.93,1.198,8.2,1.0,2.6,7.6,2.90,,-9999
AL (2 yrs),AL (2 yrs),AL (2 yrs),AL (2 yrs),12,17,.414,3.83,38,37,0,2,1,0,239.2,262,111,102,25,50,2,158,8,1,2,1001,106,3.88,1.302,9.8,0.9,1.9,5.9,3.16,,-9999
