Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2006,22,BOS,AL,7,2,.778,4.76,15,15,0,0,0,0,81.1,91,43,43,7,43,1,60,5,0,5,367,100,4.56,1.648,10.1,0.8,4.8,6.6,1.40,,-9999
2007,23,BOS,AL,4,0,1.000,4.57,12,11,0,0,0,0,63.0,61,33,32,10,31,0,50,1,0,1,275,104,5.24,1.460,8.7,1.4,4.4,7.1,1.61,,-9999
2008,24,BOS,AL,16,6,.727,3.21,33,33,0,2,2,0,210.1,202,78,75,14,66,1,152,10,1,3,874,144,3.64,1.274,8.6,0.6,2.8,6.5,2.30,,-9999
2009,25,BOS,AL,15,8,.652,3.41,32,32,0,2,0,0,203.1,186,80,77,20,64,0,225,3,0,6,843,136,3.15,1.230,8.2,0.9,2.8,10.0,3.52,,-9999
2010,26,BOS,AL,19,9,.679,3.25,32,32,0,2,0,0,208.0,167,81,75,14,83,0,225,10,0,6,861,134,3.13,1.202,7.2,0.6,3.6,9.7,2.71,ASCYA-4,-9999
2011,27,BOS,AL,15,9,.625,3.47,31,31,0,0,0,0,191.2,166,77,74,20,75,0,182,11,0,4,799,124,3.83,1.257,7.8,0.9,3.5,8.5,2.43,AS,-9999
2012,28,BOS,AL,9,14,.391,4.82,33,33,0,3,0,0,205.1,216,117,110,25,68,2,166,4,0,6,876,87,4.11,1.383,9.5,1.1,3.0,7.3,2.44,,-9999
2013,29,BOS,AL,15,8,.652,3.75,33,33,0,1,1,0,213.1,209,94,89,19,67,0,177,7,0,5,903,110,3.59,1.294,8.8,0.8,2.8,7.5,2.64,,-9999
2014,30,TOT,AL,16,11,.593,2.46,32,32,0,1,1,0,219.2,194,76,60,16,48,0,220,5,0,3,885,158,2.80,1.102,7.9,0.7,2.0,9.0,4.58,ASCYA-4,-9999
2014,30,BOS,AL,10,7,.588,2.52,21,21,0,0,0,0,143.0,128,52,40,9,32,0,149,4,0,2,580,158,2.62,1.119,8.1,0.6,2.0,9.4,4.66,,-9999
2014,30,OAK,AL,6,4,.600,2.35,11,11,0,1,1,0,76.2,66,24,20,7,16,0,71,1,0,1,305,159,3.13,1.070,7.7,0.8,1.9,8.3,4.44,,-9999
2015,31,CHC,NL,11,12,.478,3.34,32,32,0,1,0,0,205.0,183,83,76,16,47,0,207,7,0,8,828,114,2.92,1.122,8.0,0.7,2.1,9.1,4.40,,-9999
2016,32,CHC,NL,19,5,.792,2.44,32,32,0,2,0,0,202.2,154,57,55,21,52,0,197,6,0,4,796,171,3.41,1.016,6.8,0.9,2.3,8.7,3.79,ASCYA-2,-9999
2017,33,CHC,NL,13,8,.619,4.33,32,32,0,1,0,0,180.2,179,101,87,26,60,3,180,4,0,3,763,101,4.10,1.323,8.9,1.3,3.0,9.0,3.00,,-9999
2018,34,CHC,NL,18,6,.750,3.32,32,32,0,0,0,0,181.2,174,75,67,24,64,1,149,6,0,4,761,125,4.39,1.310,8.6,1.2,3.2,7.4,2.33,ASCYA-9,-9999
2019,35,CHC,NL,13,10,.565,4.46,31,31,0,0,0,0,171.2,205,101,85,26,52,0,165,5,0,3,764,99,4.26,1.497,10.7,1.4,2.7,8.7,3.17,,-9999
2020,36,CHC,NL,3,3,.500,5.16,12,12,0,0,0,0,61.0,64,35,35,11,17,0,42,3,0,2,265,87,5.14,1.328,9.4,1.6,2.5,6.2,2.47,,-9999
2021,37,TOT,NL,7,6,.538,4.71,28,28,0,0,0,0,141.1,159,84,74,25,55,5,91,3,0,0,627,85,5.41,1.514,10.1,1.6,3.5,5.8,1.65,,-9999
2021,37,WSN,NL,3,5,.375,5.02,16,16,0,0,0,0,75.1,91,50,42,14,29,3,51,1,0,0,342,81,5.43,1.593,10.9,1.7,3.5,6.1,1.76,,-9999
2021,37,STL,NL,4,1,.800,4.36,12,12,0,0,0,0,66.0,68,34,32,11,26,2,40,2,0,0,285,90,5.40,1.424,9.3,1.5,3.5,5.5,1.54,,-9999
16 Yrs,16 Yrs,16 Yrs,16 Yrs,200,117,.631,3.66,452,451,0,15,4,0,2740.0,2610,1215,1114,294,892,13,2488,90,1,63,11487,117,3.78,1.278,8.6,1.0,2.9,8.2,2.79,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,15,9,.631,3.66,34,34,0,1,0,0,206,197,91,84,22,67,1,187,7,0,5,865,117,3.78,1.278,8.6,1.0,2.9,8.2,2.79,,pitch_glossary.shtml#162_avg
