Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2001,21,FLA,NL,2,2,.500,1.50,4,4,0,0,0,0,24.0,14,9,4,3,11,0,24,1,0,1,99,286,4.17,1.042,5.3,1.1,4.1,9.0,2.18,,-9999
2002,22,FLA,NL,6,7,.462,4.10,23,21,0,0,0,0,107.2,93,56,49,13,44,2,113,1,0,5,454,98,3.69,1.272,7.8,1.1,3.7,9.4,2.57,,-9999
2003,23,FLA,NL,9,8,.529,3.04,24,23,1,0,0,0,142.0,132,54,48,9,56,4,152,2,1,6,601,138,2.94,1.324,8.4,0.6,3.5,9.6,2.71,,-9999
2004,24,FLA,NL,9,9,.500,3.79,26,26,0,1,1,0,156.2,137,72,66,16,54,3,152,6,0,5,654,108,3.59,1.219,7.9,0.9,3.1,8.7,2.81,,-9999
2005,25,FLA,NL,15,8,.652,3.38,29,29,0,2,1,0,178.2,153,75,67,14,58,2,166,7,0,5,728,118,3.27,1.181,7.7,0.7,2.9,8.4,2.86,,-9999
2006,26,BOS,AL,16,11,.593,5.01,33,33,0,0,0,0,204.2,191,120,114,36,74,1,158,10,1,11,869,95,5.12,1.295,8.4,1.6,3.3,6.9,2.14,,-9999
2007,27,BOS,AL,20,7,.741,3.27,30,30,0,1,0,0,200.2,189,76,73,17,40,0,194,5,0,3,822,145,3.08,1.141,8.5,0.8,1.8,8.7,4.85,ASCYA-2MVP-22,-9999
2008,28,BOS,AL,12,10,.545,4.03,27,27,0,1,0,0,174.1,173,80,78,18,34,1,172,9,0,5,725,115,3.24,1.187,8.9,0.9,1.8,8.9,5.06,,-9999
2009,29,BOS,AL,17,6,.739,3.86,32,32,0,4,2,0,212.1,198,99,91,25,55,1,199,7,1,3,883,121,3.63,1.192,8.4,1.1,2.3,8.4,3.62,AS,-9999
2010,30,BOS,AL,6,6,.500,5.78,21,21,0,0,0,0,127.2,151,89,82,20,45,3,116,8,0,3,577,75,4.54,1.535,10.6,1.4,3.2,8.2,2.58,,-9999
2011,31,BOS,AL,13,7,.650,2.89,30,30,0,1,1,0,193.0,146,65,62,21,52,1,175,9,0,6,767,149,3.57,1.026,6.8,1.0,2.4,8.2,3.37,ASCYA-9,-9999
2012,32,TOT,MLB,7,14,.333,4.65,28,28,0,0,0,0,170.1,174,91,88,21,52,6,132,5,0,5,730,89,4.15,1.327,9.2,1.1,2.7,7.0,2.54,,-9999
2012,32,BOS,AL,5,11,.313,5.23,21,21,0,0,0,0,127.1,131,75,74,16,38,2,94,5,0,4,547,81,4.26,1.327,9.3,1.1,2.7,6.6,2.47,,-9999
2012,32,LAD,NL,2,3,.400,2.93,7,7,0,0,0,0,43.0,43,16,14,5,14,4,38,0,0,1,183,131,3.81,1.326,9.0,1.0,2.9,8.0,2.71,,-9999
2013,33,LAD,NL,0,5,.000,5.19,8,8,0,1,0,0,43.1,50,30,25,8,15,2,41,1,0,0,195,69,4.66,1.500,10.4,1.7,3.1,8.5,2.73,,-9999
2014,34,LAD,NL,6,6,.500,2.88,20,20,0,1,1,0,115.2,96,41,37,17,39,2,107,5,0,1,475,121,4.33,1.167,7.5,1.3,3.0,8.3,2.74,,-9999
14 Yrs,14 Yrs,14 Yrs,14 Yrs,138,106,.566,3.88,335,332,1,12,6,0,2051.0,1897,957,884,238,629,28,1901,76,3,59,8579,111,3.78,1.232,8.3,1.0,2.8,8.3,3.02,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,14,11,.566,3.88,34,34,0,1,1,0,209,193,98,90,24,64,3,194,8,0,6,875,111,3.78,1.232,8.3,1.0,2.8,8.3,3.02,,pitch_glossary.shtml#162_avg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
BOS (7 yrs),BOS (7 yrs),BOS (7 yrs),BOS (7 yrs),89,58,.605,4.17,194,194,0,7,3,0,1240.0,1179,604,574,153,338,9,1108,53,2,35,5190,109,3.88,1.223,8.6,1.1,2.5,8.0,3.28,,-9999
FLA (5 yrs),FLA (5 yrs),FLA (5 yrs),FLA (5 yrs),41,34,.547,3.46,106,103,1,3,2,0,609.0,529,266,234,55,223,11,607,17,1,22,2536,118,3.38,1.235,7.8,0.8,3.3,9.0,2.72,,-9999
LAD (3 yrs),LAD (3 yrs),LAD (3 yrs),LAD (3 yrs),8,14,.364,3.39,35,35,0,2,1,0,202.0,189,87,76,30,68,8,186,6,0,2,853,106,4.29,1.272,8.4,1.3,3.0,8.3,2.74,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
NL (8 yrs),NL (8 yrs),NL (8 yrs),NL (8 yrs),49,48,.505,3.44,141,138,1,5,3,0,811.0,718,353,310,85,291,19,793,23,1,24,3389,115,3.61,1.244,8.0,0.9,3.2,8.8,2.73,,-9999
AL (7 yrs),AL (7 yrs),AL (7 yrs),AL (7 yrs),89,58,.605,4.17,194,194,0,7,3,0,1240.0,1179,604,574,153,338,9,1108,53,2,35,5190,109,3.88,1.223,8.6,1.1,2.5,8.0,3.28,,-9999
