Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2010,25,CLE,AL,6,4,0.6,4.56,12,12,0,1,0,0,73,72,38,37,10,19,3,43,3,0,1,301,87,4.59,1.247,8.9,1.2,2.3,5.3,2.26,,-9999
2011,26,CLE,AL,12,7,0.632,4.25,26,26,0,0,0,0,165.1,157,80,78,24,21,2,89,3,0,3,662,93,4.27,1.077,8.5,1.3,1.1,4.8,4.24,,-9999
2012,27,CLE,AL,5,8,0.385,6.36,21,16,0,0,0,0,103.1,126,74,73,18,25,3,56,3,0,4,452,61,5.09,1.461,11,1.6,2.2,4.9,2.24,,-9999
2013,28,CLE,AL,0,0,,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,9,,3.05,1,9,0,0,0,,,-9999
2014,29,CLE,AL,6,9,0.4,4.76,25,16,6,1,1,0,104,120,66,55,18,14,3,94,1,0,6,446,82,4.01,1.288,10.4,1.6,1.2,8.1,6.71,,-9999
2015,30,CLE,AL,7,2,0.778,3.02,10,10,0,2,0,0,65.2,47,22,22,13,8,0,57,2,0,1,251,143,4.43,0.838,6.4,1.8,1.1,7.8,7.13,,-9999
2016,31,CLE,AL,13,9,0.591,4.4,30,29,1,0,0,0,174,187,97,85,36,20,2,118,3,0,4,725,103,4.88,1.19,9.7,1.9,1,6.1,5.9,,-9999
2017,32,CLE,AL,10,9,0.526,4.98,26,26,0,1,0,0,141,166,80,78,23,14,0,109,4,0,1,585,92,4.12,1.277,10.6,1.5,0.9,7,7.79,,-9999
2018,33,CLE,AL,2,5,0.286,6.14,32,9,19,0,0,0,70.1,92,52,48,25,12,1,46,4,0,5,321,71,7.16,1.479,11.8,3.2,1.5,5.9,3.83,,-9999
2019,34,ATL,NL,2,1,0.667,3.74,51,1,21,0,0,2,79.1,82,35,33,14,7,0,51,0,0,2,320,123,4.49,1.122,9.3,1.6,0.8,5.8,7.29,,-9999
2020,35,ATL,NL,2,2,0.5,4.76,17,5,2,0,0,0,39.2,40,22,21,6,8,2,36,1,0,1,163,99,4.02,1.21,9.1,1.4,1.8,8.2,4.5,,-9999
2021,36,ATL,NL,4,0,1,6.57,35,0,6,0,0,0,49.1,69,36,36,10,5,0,37,1,1,0,218,66,4.67,1.5,12.6,1.8,0.9,6.8,7.4,,-9999
12 Yrs,12 Yrs,12 Yrs,12 Yrs,69,56,0.552,4.77,286,150,55,5,1,2,1067,1160,602,566,197,153,16,736,25,1,28,4453,89,4.65,1.231,9.8,1.7,1.3,6.2,4.81,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,11,9,0.552,4.77,45,23,9,1,0,0,166,181,94,88,31,24,2,115,4,0,4,695,89,4.65,1.231,9.8,1.7,1.3,6.2,4.81,,pitch_glossary.shtml#162_avg
