Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2009,24,BAL,AL,12,22,18,2,3,0,0,0,3,0,0,4,3,.167,.318,.167,.485,33,3,1,0,0,0,0,/5H4D,,-9999
2010,25,TOT,MLB,9,18,17,1,1,1,0,0,0,0,0,1,3,.059,.111,.118,.229,-37,2,0,0,0,0,0,/4H56,,-9999
2010,25,BAL,AL,5,9,9,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,/4H6,,-9999
2010,25,NYM,NL,4,9,8,1,1,1,0,0,0,0,0,1,0,.125,.222,.250,.472,29,2,0,0,0,0,0,/4H5,,-9999
2011,26,NYM,NL,117,487,435,49,113,30,0,4,51,7,2,39,59,.260,.334,.356,.690,94,155,9,10,2,1,2,45H/6,,-9999
2012,27,NYM,NL,94,185,171,20,46,13,1,2,19,1,1,9,24,.269,.319,.392,.711,97,67,9,4,0,1,0,H4356,,-9999
2013,28,NYM,NL,86,214,200,12,56,13,1,2,16,0,1,11,34,.280,.319,.385,.704,100,77,6,1,1,1,1,H5634/D7,,-9999
2014,29,LAD,NL,109,322,288,46,98,21,1,7,43,6,1,28,58,.340,.404,.493,.897,155,142,6,4,0,2,1,5H64/3,,-9999
2015,30,LAD,NL,126,439,385,55,113,26,1,16,60,5,2,36,71,.294,.370,.491,.861,139,189,10,13,1,4,1,5H3/46,,-9999
2016,31,LAD,NL,151,622,556,79,153,34,3,27,90,4,1,48,107,.275,.339,.493,.832,121,274,16,10,0,8,1,*5H/D3,MVP-9,-9999
2017,32,LAD,NL,130,543,457,72,147,32,0,21,71,7,1,59,56,.322,.415,.530,.945,150,242,12,19,1,7,5,*5/HD,ASMVP-8,-9999
2018,33,LAD,NL,103,426,365,62,114,31,1,14,52,2,1,47,54,.312,.406,.518,.924,151,189,10,12,0,2,3,5/HD,MVP-14,-9999
2019,34,LAD,NL,135,549,479,80,139,24,0,27,67,2,0,51,88,.290,.372,.509,.881,130,244,11,14,0,5,1,*5H/D4,,-9999
2020,35,LAD,NL,42,175,150,26,46,9,1,4,23,1,0,18,26,.307,.400,.460,.860,133,69,2,6,0,1,0,5D,,-9999
2021,36,LAD,NL,151,612,533,87,148,22,0,27,87,3,0,61,98,.278,.361,.471,.832,120,251,12,12,0,6,0,*5H/D1,AS,-9999
2022,37,LAD,NL,128,532,468,61,130,36,0,13,81,3,0,50,89,.278,.350,.438,.788,120,205,13,6,0,8,1,5D/H,,-9999
2023,38,BOS,AL,146,626,558,86,154,31,0,23,96,4,1,51,110,.276,.345,.455,.800,114,254,10,11,0,6,0,D34/5H,,-9999
15 Yrs,15 Yrs,15 Yrs,15 Yrs,1539,5772,5080,738,1461,323,9,187,759,45,11,513,880,.288,.363,.465,.829,125,2363,127,122,5,52,16,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,608,535,78,154,34,1,20,80,5,1,54,93,.288,.363,.465,.829,125,249,13,13,1,5,2,,,bat_glossary.shtml#162_avg
LAD (9 yrs),LAD (9 yrs),LAD (9 yrs),LAD (9 yrs),1075,4220,3681,568,1088,235,7,156,574,33,6,398,647,.296,.375,.490,.865,133,1805,92,96,2,43,13,,,-9999
NYM (4 yrs),NYM (4 yrs),NYM (4 yrs),NYM (4 yrs),301,895,814,82,216,57,2,8,86,8,4,60,117,.265,.326,.370,.696,95,301,24,15,3,3,3,,,-9999
BAL (2 yrs),BAL (2 yrs),BAL (2 yrs),BAL (2 yrs),17,31,27,2,3,0,0,0,3,0,0,4,6,.111,.226,.111,.337,-6,3,1,0,0,0,0,,,-9999
BOS (1 yr),BOS (1 yr),BOS (1 yr),BOS (1 yr),146,626,558,86,154,31,0,23,96,4,1,51,110,.276,.345,.455,.800,114,254,10,11,0,6,0,,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
NL (13 yrs),NL (13 yrs),NL (13 yrs),NL (13 yrs),1376,5115,4495,650,1304,292,9,164,660,41,10,458,764,.290,.367,.469,.835,127,2106,116,111,5,46,16,,,-9999
AL (3 yrs),AL (3 yrs),AL (3 yrs),AL (3 yrs),163,657,585,88,157,31,0,23,99,4,1,55,116,.268,.339,.439,.779,108,257,11,11,0,6,0,,,-9999
