Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2005,22,DET,AL,0,2,.000,7.15,2,2,0,0,0,0,11.1,15,9,9,1,5,0,7,1,0,1,54,61,4.52,1.765,11.9,0.8,4.0,5.6,1.40,,-9999
2006,23,DET,AL,17,9,.654,3.63,30,30,0,1,1,0,186.0,187,78,75,21,60,1,124,6,1,5,776,125,4.35,1.328,9.0,1.0,2.9,6.0,2.07,CYA-7MVP-15RoY-1,-9999
2007,24,DET,AL,18,6,.750,3.66,32,32,0,1,1,0,201.2,181,88,82,20,67,3,183,19,2,17,866,125,3.99,1.230,8.1,0.9,3.0,8.2,2.73,ASCYA-5,-9999
2008,25,DET,AL,11,17,.393,4.84,33,33,0,1,0,0,201.0,195,119,108,18,87,8,163,14,3,6,880,92,4.18,1.403,8.7,0.8,3.9,7.3,1.87,,-9999
2009,26,DET,AL,19,9,.679,3.45,35,35,0,3,1,0,240.0,219,99,92,20,63,5,269,6,4,8,982,131,2.80,1.175,8.2,0.8,2.4,10.1,4.27,ASCYA-3MVP-20,-9999
2010,27,DET,AL,18,9,.667,3.37,33,33,0,4,0,0,224.1,190,89,84,14,71,0,219,6,2,11,925,124,2.97,1.163,7.6,0.6,2.8,8.8,3.08,ASCYA-11,-9999
2011,28,DET,AL,24,5,.828,2.40,34,34,0,4,2,0,251.0,174,73,67,24,57,0,250,3,2,7,969,172,2.99,0.920,6.2,0.9,2.0,9.0,4.39,ASCYA-1MVP-1,-9999
2012,29,DET,AL,17,8,.680,2.64,33,33,0,6,1,0,238.1,192,81,70,19,60,2,239,5,1,2,956,161,2.94,1.057,7.3,0.7,2.3,9.0,3.98,ASCYA-2MVP-8,-9999
2013,30,DET,AL,13,12,.520,3.46,34,34,0,0,0,0,218.1,212,94,84,19,75,1,217,4,1,3,925,120,3.28,1.315,8.7,0.8,3.1,8.9,2.89,AS,-9999
2014,31,DET,AL,15,12,.556,4.54,32,32,0,0,0,0,206.0,223,114,104,18,65,1,159,5,1,5,893,85,3.74,1.398,9.7,0.8,2.8,6.9,2.45,,-9999
2015,32,DET,AL,5,8,.385,3.38,20,20,0,1,1,0,133.1,113,56,50,13,32,1,113,3,0,2,535,118,3.49,1.088,7.6,0.9,2.2,7.6,3.53,,-9999
2016,33,DET,AL,16,9,.640,3.04,34,34,0,2,0,0,227.2,171,81,77,30,57,1,254,8,0,6,903,140,3.48,1.001,6.8,1.2,2.3,10.0,4.46,CYA-2MVP-17,-9999
2017,34,TOT,AL,15,8,.652,3.36,33,33,0,0,0,0,206.0,170,80,77,27,72,4,219,4,0,5,849,131,3.84,1.175,7.4,1.2,3.1,9.6,3.04,CYA-5,-9999
2017,34,DET,AL,10,8,.556,3.82,28,28,0,0,0,0,172.0,153,76,73,23,67,4,176,3,0,5,729,117,4.07,1.279,8.0,1.2,3.5,9.2,2.63,,-9999
2017,34,HOU,AL,5,0,1.000,1.06,5,5,0,0,0,0,34.0,17,4,4,4,5,0,43,1,0,0,120,389,2.69,0.647,4.5,1.1,1.3,11.4,8.60,,-9999
2018,35,HOU,AL,16,9,.640,2.52,34,34,0,1,1,0,214.0,156,63,60,28,37,0,290,8,2,5,833,164,2.78,0.902,6.6,1.2,1.6,12.2,7.84,ASCYA-2MVP-10,-9999
2019,36,HOU,AL,21,6,.778,2.58,34,34,0,2,1,0,223.0,137,66,64,36,42,0,300,6,0,4,847,179,3.27,0.803,5.5,1.5,1.7,12.1,7.14,ASCYA-1MVP-11,-9999
2020,37,HOU,AL,1,0,1.000,3.00,1,1,0,0,0,0,6.0,3,2,2,2,1,0,7,0,0,0,21,156,5.69,0.667,4.5,3.0,1.5,10.5,7.00,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
2022,39,HOU,AL,18,4,.818,1.75,28,28,0,0,0,0,175.0,116,43,34,12,29,0,185,6,0,3,666,218,2.49,0.829,6.0,0.6,1.5,9.5,6.38,ASCYA-1MVP-10,-9999
2023,40,TOT,MLB,13,8,.619,3.22,27,27,0,0,0,0,162.1,139,63,58,18,45,0,144,5,0,5,669,131,3.85,1.133,7.7,1.0,2.5,8.0,3.20,,-9999
2023,40,NYM,NL,6,5,.545,3.15,16,16,0,0,0,0,94.1,77,36,33,9,31,0,81,1,0,3,386,134,3.80,1.145,7.3,0.9,3.0,7.7,2.61,,-9999
2023,40,HOU,AL,7,3,.700,3.31,11,11,0,0,0,0,68.0,62,27,25,9,14,0,63,4,0,2,283,127,3.92,1.118,8.2,1.2,1.9,8.3,4.50,,-9999
18 Yrs,18 Yrs,18 Yrs,18 Yrs,257,141,.646,3.24,509,509,0,26,9,0,3325.1,2793,1298,1197,340,925,27,3342,109,19,95,13549,132,3.38,1.118,7.6,0.9,2.5,9.0,3.61,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,17,9,.646,3.24,34,34,0,2,1,0,222,187,87,80,23,62,2,223,7,1,6,905,132,3.38,1.118,7.6,0.9,2.5,9.0,3.61,,pitch_glossary.shtml#162_avg
DET (13 yrs),DET (13 yrs),DET (13 yrs),DET (13 yrs),183,114,.616,3.49,380,380,0,23,7,0,2511.0,2225,1057,975,240,766,27,2373,83,17,78,10393,123,3.48,1.191,8.0,0.9,2.7,8.5,3.10,,-9999
