Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2009,19,SFG,NL,0,0,,1.80,4,1,1,0,0,0,10.0,8,2,2,2,3,1,10,0,0,0,40,244,4.60,1.100,7.2,1.8,2.7,9.0,3.33,,-9999
2010,20,SFG,NL,7,6,.538,3.00,18,18,0,0,0,0,111.0,119,40,37,11,26,2,86,5,1,1,472,131,3.66,1.306,9.6,0.9,2.1,7.0,3.31,,-9999
2011,21,SFG,NL,13,13,.500,3.21,33,33,0,0,0,0,204.2,202,82,73,12,46,5,191,5,1,0,844,109,2.67,1.212,8.9,0.5,2.0,8.4,4.15,CYA-11,-9999
2012,22,SFG,NL,16,11,.593,3.37,32,32,0,2,1,0,208.1,183,87,78,23,49,6,191,7,2,3,849,105,3.50,1.114,7.9,1.0,2.1,8.3,3.90,,-9999
2013,23,SFG,NL,13,9,.591,2.77,31,31,0,0,0,0,201.1,146,68,62,15,62,6,199,6,0,6,803,124,3.05,1.033,6.5,0.7,2.8,8.9,3.21,ASCYA-9,-9999
2014,24,SFG,NL,18,10,.643,2.98,33,33,0,4,2,0,217.1,194,81,72,21,43,3,219,6,1,4,873,116,3.05,1.090,8.0,0.9,1.8,9.1,5.09,ASCYA-4SS,-9999
2015,25,SFG,NL,18,9,.667,2.93,32,32,0,4,2,0,218.1,181,73,71,21,39,2,234,7,0,1,869,131,2.87,1.008,7.5,0.9,1.6,9.6,6.00,ASCYA-6SS,-9999
2016,26,SFG,NL,15,9,.625,2.74,34,34,0,4,1,0,226.2,179,79,69,26,54,0,251,8,1,4,912,146,3.24,1.028,7.1,1.0,2.1,10.0,4.65,ASCYA-4MVP-16,-9999
2017,27,SFG,NL,4,9,.308,3.32,17,17,0,1,0,0,111.0,101,41,41,17,20,3,101,3,0,0,450,128,3.95,1.090,8.2,1.4,1.6,8.2,5.05,,-9999
2018,28,SFG,NL,6,7,.462,3.26,21,21,0,0,0,0,129.2,118,51,47,14,43,3,109,5,1,3,551,116,3.99,1.242,8.2,1.0,3.0,7.6,2.53,,-9999
2019,29,SFG,NL,9,9,.500,3.90,34,34,0,0,0,0,207.2,191,99,90,30,43,3,203,10,0,3,844,107,3.90,1.127,8.3,1.3,1.9,8.8,4.72,,-9999
2020,30,ARI,NL,1,4,.200,6.48,9,9,0,0,0,0,41.2,47,31,30,13,13,2,30,6,0,0,190,70,7.18,1.440,10.2,2.8,2.8,6.5,2.31,,-9999
2021,31,ARI,NL,7,10,.412,4.67,26,26,0,1,1,0,146.1,134,82,76,24,39,2,124,11,1,2,613,90,4.63,1.182,8.2,1.5,2.4,7.6,3.18,,-9999
2022,32,ARI,NL,7,15,.318,4.88,30,30,0,0,0,0,158.2,179,97,86,25,49,0,112,9,0,2,698,82,4.85,1.437,10.2,1.4,2.8,6.4,2.29,,-9999
2023,33,ARI,NL,0,3,.000,10.26,4,4,0,0,0,0,16.2,25,20,19,4,15,0,10,1,0,0,90,43,8.06,2.400,13.5,2.2,8.1,5.4,0.67,,-9999
15 Yrs,15 Yrs,15 Yrs,15 Yrs,134,124,.519,3.47,358,355,1,16,7,0,2209.1,2007,933,853,258,544,38,2070,89,8,29,9098,110,3.63,1.155,8.2,1.1,2.2,8.4,3.81,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,13,12,.519,3.47,34,34,0,2,1,0,211,191,89,81,25,52,4,197,8,1,3,868,110,3.63,1.155,8.2,1.1,2.2,8.4,3.81,,pitch_glossary.shtml#162_avg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
SFG (11 yrs),SFG (11 yrs),SFG (11 yrs),SFG (11 yrs),119,92,.564,3.13,289,286,1,15,6,0,1846.0,1622,703,642,192,428,34,1794,62,7,25,7507,120,3.32,1.111,7.9,0.9,2.1,8.7,4.19,,-9999
ARI (4 yrs),ARI (4 yrs),ARI (4 yrs),ARI (4 yrs),15,32,.319,5.23,69,69,0,1,1,0,363.1,385,230,211,66,116,4,276,27,1,4,1591,80,5.17,1.379,9.5,1.6,2.9,6.8,2.38,,-9999
