Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2000,21,CHW,AL,4,1,.800,4.21,28,3,6,0,0,0,51.1,55,27,24,5,19,1,37,3,0,0,225,120,4.24,1.442,9.6,0.9,3.3,6.5,1.95,,-9999
2001,22,CHW,AL,16,8,.667,3.29,32,32,0,4,2,0,221.1,188,89,81,24,48,2,126,8,5,1,885,140,4.08,1.066,7.6,1.0,2.0,5.1,2.63,,-9999
2002,23,CHW,AL,19,12,.613,3.58,34,34,0,5,2,0,239.0,236,102,95,25,61,7,134,3,1,6,984,126,4.00,1.243,8.9,0.9,2.3,5.0,2.20,AS,-9999
2003,24,CHW,AL,14,14,.500,4.14,35,35,0,2,0,0,230.1,250,124,106,22,61,2,119,5,0,1,978,112,4.10,1.350,9.8,0.9,2.4,4.6,1.95,,-9999
2004,25,CHW,AL,16,10,.615,3.89,35,35,0,4,1,0,245.1,257,119,106,33,51,2,165,8,0,0,1016,121,4.17,1.255,9.4,1.2,1.9,6.1,3.24,,-9999
2005,26,CHW,AL,16,8,.667,3.12,33,33,0,3,1,0,236.2,240,99,82,20,40,4,149,4,2,2,971,144,3.42,1.183,9.1,0.8,1.5,5.7,3.73,ASCYA-5,-9999
2006,27,CHW,AL,12,13,.480,4.99,32,32,0,1,0,0,204.0,247,124,113,36,48,5,98,6,1,0,876,95,5.27,1.446,10.9,1.6,2.1,4.3,2.04,AS,-9999
2007,28,CHW,AL,10,9,.526,3.63,30,30,0,3,1,0,201.0,208,86,81,22,45,5,115,5,0,1,835,130,4.26,1.259,9.3,1.0,2.0,5.1,2.56,,-9999
2008,29,CHW,AL,15,12,.556,3.79,34,34,0,1,0,0,218.2,240,106,92,22,52,4,140,5,0,4,918,121,3.94,1.335,9.9,0.9,2.1,5.8,2.69,,-9999
2009,30,CHW,AL,13,10,.565,3.84,33,33,0,1,1,0,213.1,222,97,91,27,45,3,105,5,1,2,874,122,4.46,1.252,9.4,1.1,1.9,4.4,2.33,ASGG,-9999
2010,31,CHW,AL,13,13,.500,4.28,33,33,0,3,0,0,210.1,246,105,100,17,49,1,99,1,5,3,897,100,3.90,1.403,10.5,0.7,2.1,4.2,2.02,GG,-9999
2011,32,CHW,AL,13,9,.591,3.59,31,31,0,0,0,0,205.1,221,93,82,21,45,3,109,2,0,1,858,121,3.98,1.295,9.7,0.9,2.0,4.8,2.42,GG,-9999
2012,33,MIA,NL,13,13,.500,3.74,31,31,0,1,0,0,202.1,197,88,84,26,40,3,125,4,0,2,828,109,4.18,1.171,8.8,1.2,1.8,5.6,3.13,GG,-9999
2013,34,TOR,AL,12,10,.545,4.15,33,33,0,1,1,0,203.2,223,100,94,24,51,3,139,9,0,2,876,99,4.10,1.345,9.9,1.1,2.3,6.1,2.73,,-9999
2014,35,TOR,AL,13,10,.565,3.39,32,32,0,0,0,0,202.0,228,83,76,15,46,0,119,4,1,2,857,112,3.66,1.356,10.2,0.7,2.0,5.3,2.59,AS,-9999
2015,36,TOR,AL,15,8,.652,3.81,32,32,0,4,1,0,198.2,214,100,84,22,33,4,91,7,0,0,827,108,4.26,1.243,9.7,1.0,1.5,4.1,2.76,,-9999
16 Yrs,16 Yrs,16 Yrs,16 Yrs,214,160,.572,3.81,518,493,6,33,10,0,3283.1,3472,1542,1391,361,734,49,1870,79,16,27,13705,117,4.11,1.281,9.5,1.0,2.0,5.1,2.55,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,14,11,.572,3.81,35,33,0,2,1,0,221,234,104,94,24,49,3,126,5,1,2,922,117,4.11,1.281,9.5,1.0,2.0,5.1,2.55,,pitch_glossary.shtml#162_avg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
