Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2009,24,NYY,AL,0,1,.000,3.86,13,0,4,0,0,0,16.1,13,8,7,0,10,0,10,4,0,3,74,122,4.44,1.408,7.2,0.0,5.5,5.5,1.00,,-9999
2010,25,TOT,MLB,2,0,1.000,4.22,22,0,4,0,0,0,21.1,19,13,10,2,8,0,22,1,0,2,90,99,3.50,1.266,8.0,0.8,3.4,9.3,2.75,,-9999
2010,25,NYY,AL,0,0,,9.00,2,0,2,0,0,0,4.0,7,5,4,1,0,0,3,0,0,0,19,52,4.83,1.750,15.8,2.3,0.0,6.8,,,-9999
2010,25,HOU,NL,2,0,1.000,3.12,20,0,2,0,0,0,17.1,12,8,6,1,8,0,19,1,0,2,71,129,3.19,1.154,6.2,0.5,4.2,9.9,2.38,,-9999
2011,26,HOU,NL,8,4,.667,2.78,71,0,47,0,0,20,74.1,65,28,23,5,26,6,66,2,0,1,309,137,3.25,1.224,7.9,0.6,3.1,8.0,2.54,,-9999
2012,27,BOS,AL,0,2,.000,6.20,41,0,17,0,0,1,45.0,45,31,31,8,12,1,41,3,0,2,194,68,4.58,1.267,9.0,1.6,2.4,8.2,3.42,,-9999
2013,28,PIT,NL,3,2,.600,1.39,72,0,24,0,0,16,71.0,60,15,11,1,8,0,70,1,0,6,279,256,1.64,0.958,7.6,0.1,1.0,8.9,8.75,AS,-9999
2014,29,PIT,NL,3,5,.375,1.90,72,0,48,0,0,33,71.0,51,15,15,2,11,1,71,3,0,3,277,190,2.09,0.873,6.5,0.3,1.4,9.0,6.45,,-9999
2015,30,PIT,NL,3,2,.600,2.23,78,0,63,0,0,51,76.2,57,22,19,4,14,2,62,2,0,3,293,174,2.82,0.926,6.7,0.5,1.6,7.3,4.43,ASCYA-8,-9999
2016,31,TOT,NL,2,2,.500,1.64,75,0,67,0,0,47,71.1,52,16,13,3,12,0,65,1,0,4,270,258,2.42,0.897,6.6,0.4,1.5,8.2,5.42,AS,-9999
2016,31,PIT,NL,1,1,.500,1.51,45,0,39,0,0,30,41.2,31,10,7,2,9,0,38,1,0,1,163,276,2.67,0.960,6.7,0.4,1.9,8.2,4.22,,-9999
2016,31,WSN,NL,1,1,.500,1.82,30,0,28,0,0,17,29.2,21,6,6,1,3,0,27,0,0,3,107,237,2.07,0.809,6.4,0.3,0.9,8.2,9.00,,-9999
2017,32,SFG,NL,1,2,.333,4.50,32,0,18,0,0,11,30.0,37,16,15,3,6,0,29,1,0,2,130,96,3.22,1.433,11.1,0.9,1.8,8.7,4.83,,-9999
2018,33,SFG,NL,1,4,.200,3.23,41,0,8,0,0,3,39.0,48,18,14,2,14,2,31,1,0,4,174,118,3.39,1.590,11.1,0.5,3.2,7.2,2.21,,-9999
2019,34,TOT,NL,5,2,.714,3.61,66,0,34,0,0,12,67.1,71,28,27,4,18,2,68,2,0,4,284,120,2.86,1.322,9.5,0.5,2.4,9.1,3.78,,-9999
2019,34,SFG,NL,4,2,.667,3.50,43,0,16,0,0,1,46.1,49,19,18,3,16,2,44,2,0,3,195,120,3.32,1.403,9.5,0.6,3.1,8.5,2.75,,-9999
2019,34,ATL,NL,1,0,1.000,3.86,23,0,18,0,0,11,21.0,22,9,9,1,2,0,24,0,0,1,89,120,1.83,1.143,9.4,0.4,0.9,10.3,12.00,,-9999
2020,35,ATL,NL,2,1,.667,2.78,23,0,19,0,0,11,22.2,22,8,7,1,7,3,14,2,0,1,95,170,3.72,1.279,8.7,0.4,2.8,5.6,2.00,,-9999
2021,36,SDP,NL,4,3,.571,2.23,64,0,53,0,0,39,64.2,54,21,16,4,25,4,59,1,0,3,265,175,3.36,1.222,7.5,0.6,3.5,8.2,2.36,AS,-9999
2022,37,ARI,NL,3,10,.231,4.66,62,0,48,0,0,18,56.0,63,37,29,5,21,2,35,1,0,6,247,87,4.20,1.500,10.1,0.8,3.4,5.6,1.67,,-9999
14 Yrs,14 Yrs,14 Yrs,14 Yrs,37,40,.481,2.94,732,0,454,0,0,262,726.2,657,276,237,44,192,23,643,25,0,44,2981,136,3.04,1.168,8.1,0.5,2.4,8.0,3.35,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,3,4,.481,2.94,68,0,42,0,0,24,68,61,26,22,4,18,2,60,2,0,4,277,136,3.04,1.168,8.1,0.5,2.4,8.0,3.35,,pitch_glossary.shtml#162_avg
