Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2005,20,SFG,NL,2,1,.667,2.33,7,7,0,1,0,0,46.1,24,12,12,4,19,1,30,0,0,1,181,185,4.08,0.928,4.7,0.8,3.7,5.8,1.58,,-9999
2006,21,SFG,NL,13,12,.520,4.15,32,31,1,1,1,0,190.2,157,93,88,18,87,1,179,6,2,9,818,108,3.96,1.280,7.4,0.8,4.1,8.4,2.06,RoY-5,-9999
2007,22,SFG,NL,7,16,.304,3.65,32,32,0,1,0,0,200.0,173,84,81,14,79,3,163,5,0,12,832,123,3.78,1.260,7.8,0.6,3.6,7.3,2.06,,-9999
2008,23,SFG,NL,8,14,.364,3.76,34,34,0,1,1,0,217.2,206,95,91,19,91,9,186,7,2,7,933,117,3.91,1.364,8.5,0.8,3.8,7.7,2.04,,-9999
2009,24,SFG,NL,14,8,.636,2.89,33,33,0,4,0,0,217.2,184,73,70,22,73,6,171,3,0,9,886,147,3.89,1.181,7.6,0.9,3.0,7.1,2.34,AS,-9999
2010,25,SFG,NL,13,11,.542,3.14,33,33,0,4,2,0,223.1,181,84,78,22,61,4,177,4,0,8,896,124,3.65,1.084,7.3,0.9,2.5,7.1,2.90,CYA-12,-9999
2011,26,SFG,NL,12,11,.522,2.88,33,33,0,1,0,0,221.2,177,82,71,9,63,5,179,9,0,4,907,121,2.91,1.083,7.2,0.4,2.6,7.3,2.84,ASCYA-8,-9999
2012,27,SFG,NL,16,5,.762,2.79,32,32,0,2,2,0,219.1,177,73,68,21,51,1,193,9,0,8,876,126,3.40,1.040,7.3,0.9,2.1,7.9,3.78,ASCYA-6,-9999
2013,28,SFG,NL,8,10,.444,4.00,30,30,0,0,0,0,184.1,158,85,82,23,55,3,158,5,0,1,760,86,3.93,1.156,7.7,1.1,2.7,7.7,2.87,,-9999
2014,29,SFG,NL,2,7,.222,4.18,15,15,0,0,0,0,90.1,81,47,42,13,32,2,70,2,0,2,374,83,4.58,1.251,8.1,1.3,3.2,7.0,2.19,,-9999
2015,30,SFG,NL,2,4,.333,5.79,13,11,0,0,0,0,60.2,71,39,39,12,20,0,41,4,0,1,271,67,5.54,1.500,10.5,1.8,3.0,6.1,2.05,,-9999
2016,31,SFG,NL,4,8,.333,5.64,21,17,2,0,0,0,89.1,103,58,56,16,32,1,72,6,0,5,397,71,5.14,1.511,10.4,1.6,3.2,7.3,2.25,,-9999
2017,32,SFG,NL,3,11,.214,5.43,27,23,1,0,0,0,124.1,157,85,75,18,49,6,75,2,0,3,568,79,5.06,1.657,11.4,1.3,3.5,5.4,1.53,,-9999
13 Yrs,13 Yrs,13 Yrs,13 Yrs,104,118,.468,3.68,342,331,4,15,6,0,2085.2,1849,910,853,211,712,42,1694,62,4,70,8699,108,3.92,1.228,8.0,0.9,3.1,7.3,2.38,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,11,12,.468,3.68,35,33,0,2,1,0,211,187,92,86,21,72,4,171,6,0,7,879,108,3.92,1.228,8.0,0.9,3.1,7.3,2.38,,pitch_glossary.shtml#162_avg
