Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
1999,23,MON,NL,0,1,.000,7.61,9,3,1,0,0,0,23.2,30,20,20,7,9,0,28,3,0,1,110,60,6.13,1.648,11.4,2.7,3.4,10.6,3.11,,-9999
2000,24,NYY,AL,0,0,,5.63,7,0,1,0,0,0,8.0,8,6,5,1,5,0,11,0,1,1,39,89,3.88,1.625,9.0,1.1,5.6,12.4,2.20,,-9999
2001,25,NYY,AL,5,6,.455,5.37,26,21,2,0,0,0,120.2,126,81,72,20,51,1,112,7,2,9,537,84,4.79,1.467,9.4,1.5,3.8,8.4,2.20,,-9999
2002,26,TOT,AL,5,7,.417,3.69,22,16,1,2,1,0,100.0,80,43,41,15,31,3,77,6,1,6,413,120,4.48,1.110,7.2,1.4,2.8,6.9,2.48,,-9999
2002,26,NYY,AL,3,6,.333,3.40,16,11,1,2,1,0,76.2,57,31,29,10,24,3,59,5,0,6,314,130,4.25,1.057,6.7,1.2,2.8,6.9,2.46,,-9999
2002,26,OAK,AL,2,1,.667,4.63,6,5,0,0,0,0,23.1,23,12,12,5,7,0,18,1,1,0,99,95,5.23,1.286,8.9,1.9,2.7,6.9,2.57,,-9999
2003,27,OAK,AL,12,10,.545,4.34,32,31,0,0,0,0,178.1,179,92,86,24,58,3,147,5,4,5,773,102,4.19,1.329,9.0,1.2,2.9,7.4,2.53,,-9999
2004,28,TOR,AL,12,10,.545,4.06,32,32,0,2,1,0,197.1,171,92,89,26,89,2,168,6,4,6,845,119,4.50,1.318,7.8,1.2,4.1,7.7,1.89,AS,-9999
2005,29,TOR,AL,10,11,.476,5.56,25,25,0,0,0,0,126.1,135,79,78,23,58,1,96,3,2,2,566,80,5.32,1.528,9.6,1.6,4.1,6.8,1.66,,-9999
2006,30,TOR,AL,15,13,.536,4.31,32,32,0,0,0,0,181.2,179,98,87,28,81,6,160,4,4,7,797,106,4.79,1.431,8.9,1.4,4.0,7.9,1.98,,-9999
2007,31,CHC,NL,15,8,.652,3.83,34,34,0,0,0,0,207.0,181,91,88,28,55,2,174,3,0,7,847,121,4.16,1.140,7.9,1.2,2.4,7.6,3.16,,-9999
2008,32,CHC,NL,17,9,.654,4.09,34,34,0,0,0,0,204.2,187,96,93,32,64,2,184,7,4,4,861,112,4.41,1.226,8.2,1.4,2.8,8.1,2.88,,-9999
2009,33,CHC,NL,12,9,.571,3.10,27,27,0,0,0,0,177.0,151,66,61,22,36,2,151,2,3,3,706,144,3.65,1.056,7.7,1.1,1.8,7.7,4.19,AS,-9999
2010,34,TOT,NL,10,12,.455,3.62,30,30,0,1,1,0,193.2,165,83,78,32,44,4,166,5,2,2,785,113,4.27,1.079,7.7,1.5,2.0,7.7,3.77,,-9999
2010,34,CHC,NL,3,8,.273,3.69,18,18,0,0,0,0,117.0,104,53,48,19,29,3,89,2,2,2,480,115,4.46,1.137,8.0,1.5,2.2,6.8,3.07,,-9999
2010,34,LAD,NL,7,4,.636,3.52,12,12,0,1,1,0,76.2,61,30,30,13,15,1,77,3,0,0,305,110,3.98,0.991,7.2,1.5,1.8,9.0,5.13,,-9999
2011,35,LAD,NL,12,14,.462,3.97,33,33,0,0,0,0,192.2,172,88,85,28,51,8,158,9,2,2,800,93,4.21,1.157,8.0,1.3,2.4,7.4,3.10,,-9999
2012,36,LAD,NL,5,1,.833,3.14,8,8,0,0,0,0,48.2,36,23,17,3,19,1,31,2,0,3,202,122,3.92,1.130,6.7,0.6,3.5,5.7,1.63,,-9999
2013,37,LAD,NL,0,2,.000,5.09,5,5,0,0,0,0,23.0,27,16,13,4,10,0,18,1,0,0,109,71,5.18,1.609,10.6,1.6,3.9,7.0,1.80,,-9999
15 Yrs,15 Yrs,15 Yrs,15 Yrs,130,113,.535,4.14,356,331,5,5,3,0,1982.2,1827,974,913,293,661,35,1681,63,29,58,8390,106,4.41,1.255,8.3,1.3,3.0,7.6,2.54,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,13,11,.535,4.14,35,33,0,0,0,0,196,181,96,90,29,65,3,166,6,3,6,830,106,4.41,1.255,8.3,1.3,3.0,7.6,2.54,,pitch_glossary.shtml#162_avg
