Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2007,23,SFG,NL,7,5,.583,4.00,24,24,0,0,0,0,146.1,122,70,65,12,65,5,150,2,0,10,618,112,3.63,1.278,7.5,0.7,4.0,9.2,2.31,,-9999
2008,24,SFG,NL,18,5,.783,2.62,34,33,0,2,1,0,227.0,182,72,66,11,84,1,265,6,2,17,928,168,2.62,1.172,7.2,0.4,3.3,10.5,3.15,ASCYA-1MVP-23,-9999
2009,25,SFG,NL,15,7,.682,2.48,32,32,0,4,2,0,225.1,168,69,62,10,68,2,261,6,0,11,905,171,2.34,1.047,6.7,0.4,2.7,10.4,3.84,ASCYA-1MVP-18,-9999
2010,26,SFG,NL,16,10,.615,3.43,33,33,0,1,1,0,212.1,194,84,81,18,76,7,231,5,0,9,897,114,3.15,1.272,8.2,0.8,3.2,9.8,3.04,ASCYA-10,-9999
2011,27,SFG,NL,13,14,.481,2.74,33,33,0,1,1,0,217.0,176,74,66,15,86,5,220,6,0,9,900,127,3.17,1.207,7.3,0.6,3.6,9.1,2.56,ASCYA-6,-9999
2012,28,SFG,NL,10,15,.400,5.18,33,33,0,0,0,0,186.0,183,111,107,23,90,3,190,4,2,17,825,68,4.17,1.468,8.9,1.1,4.4,9.2,2.11,,-9999
2013,29,SFG,NL,10,14,.417,4.37,32,32,0,1,1,0,197.2,184,102,96,21,76,8,193,7,2,11,841,79,3.74,1.315,8.4,1.0,3.5,8.8,2.54,,-9999
2014,30,SFG,NL,12,9,.571,4.74,33,26,3,1,1,1,155.2,154,86,82,19,63,0,134,5,1,15,673,73,4.31,1.394,8.9,1.1,3.6,7.7,2.13,,-9999
2015,31,SFG,NL,7,4,.636,4.13,15,15,0,0,0,0,76.1,75,37,35,7,38,2,60,1,0,5,333,93,4.29,1.480,8.8,0.8,4.5,7.1,1.58,,-9999
2016,32,LAA,AL,2,6,.250,9.16,9,9,0,0,0,0,38.1,68,41,39,11,23,0,32,2,0,3,200,44,7.16,2.374,16.0,2.6,5.4,7.5,1.39,,-9999
10 Yrs,10 Yrs,10 Yrs,10 Yrs,110,89,.553,3.74,278,270,3,10,7,1,1682.0,1506,746,699,147,669,33,1736,44,7,107,7120,104,3.45,1.293,8.1,0.8,3.6,9.3,2.59,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,14,11,.553,3.74,34,34,0,1,1,0,209,187,93,87,18,83,4,215,5,1,13,884,104,3.45,1.293,8.1,0.8,3.6,9.3,2.59,,pitch_glossary.shtml#162_avg
