Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2012,25,TEX,AL,16,9,.640,3.90,29,29,0,0,0,0,191.1,156,89,83,14,89,1,221,10,0,8,816,112,3.29,1.280,7.3,0.7,4.2,10.4,2.48,ASCYA-9RoY-3,-9999
2013,26,TEX,AL,13,9,.591,2.83,32,32,0,0,0,0,209.2,145,68,66,26,80,1,277,8,1,7,841,145,3.28,1.073,6.2,1.1,3.4,11.9,3.46,ASCYA-2MVP-22,-9999
2014,27,TEX,AL,10,7,.588,3.06,22,22,0,2,1,0,144.1,133,54,49,13,49,1,182,2,1,14,605,130,2.84,1.261,8.3,0.8,3.1,11.3,3.71,AS,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
2016,29,TEX,AL,7,5,.583,3.41,17,17,0,0,0,0,100.1,81,43,38,12,31,1,132,3,0,6,416,134,3.09,1.116,7.3,1.1,2.8,11.8,4.26,,-9999
2017,30,TOT,MLB,10,12,.455,3.86,31,31,0,0,0,0,186.2,159,83,80,27,58,1,209,6,1,12,766,120,3.83,1.163,7.7,1.3,2.8,10.1,3.60,AS,-9999
2017,30,TEX,AL,6,9,.400,4.01,22,22,0,0,0,0,137.0,115,63,61,20,45,0,148,5,1,9,564,120,3.99,1.168,7.6,1.3,3.0,9.7,3.29,,-9999
2017,30,LAD,NL,4,3,.571,3.44,9,9,0,0,0,0,49.2,44,20,19,7,13,1,61,1,0,3,202,121,3.38,1.148,8.0,1.3,2.4,11.1,4.69,,-9999
2018,31,CHC,NL,1,3,.250,4.95,8,8,0,0,0,0,40.0,36,24,22,7,21,0,49,4,1,2,180,85,4.86,1.425,8.1,1.6,4.7,11.0,2.33,,-9999
2019,32,CHC,NL,6,8,.429,3.98,31,31,0,0,0,0,178.2,140,82,79,33,56,1,229,11,0,11,731,111,4.18,1.097,7.1,1.7,2.8,11.5,4.09,,-9999
2020,33,CHC,NL,8,3,.727,2.01,12,12,0,0,0,0,76.0,59,18,17,5,14,1,93,2,0,3,297,224,2.23,0.961,7.0,0.6,1.7,11.0,6.64,CYA-2MVP-14,-9999
2021,34,SDP,NL,8,11,.421,4.22,30,30,0,0,0,0,166.1,138,81,78,28,44,1,199,8,0,9,681,92,3.90,1.094,7.5,1.5,2.4,10.8,4.52,AS,-9999
2022,35,SDP,NL,16,8,.667,3.10,30,30,0,0,0,0,194.2,148,67,67,22,37,0,197,12,1,4,771,122,3.31,0.950,6.8,1.0,1.7,9.1,5.32,CYA-8,-9999
2023,36,SDP,NL,8,10,.444,4.56,24,24,0,0,0,0,136.1,134,71,69,18,43,0,141,8,1,1,574,90,4.03,1.298,8.8,1.2,2.8,9.3,3.28,,-9999
11 Yrs,11 Yrs,11 Yrs,11 Yrs,103,85,.548,3.59,266,266,0,2,1,0,1624.1,1329,680,648,205,522,8,1929,74,6,77,6678,117,3.51,1.140,7.4,1.1,2.9,10.7,3.70,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,13,11,.548,3.59,34,34,0,0,0,0,208,170,87,83,26,67,1,247,9,1,10,854,117,3.51,1.140,7.4,1.1,2.9,10.7,3.70,,pitch_glossary.shtml#162_avg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
TEX (5 yrs),TEX (5 yrs),TEX (5 yrs),TEX (5 yrs),52,39,.571,3.42,122,122,0,2,1,0,782.2,630,317,297,85,294,4,960,28,3,44,3242,127,3.30,1.181,7.2,1.0,3.4,11.0,3.27,,-9999
SDP (3 yrs),SDP (3 yrs),SDP (3 yrs),SDP (3 yrs),32,29,.525,3.87,84,84,0,0,0,0,497.1,420,219,214,68,124,1,537,28,2,14,2026,101,3.71,1.094,7.6,1.2,2.2,9.7,4.33,,-9999
CHC (3 yrs),CHC (3 yrs),CHC (3 yrs),CHC (3 yrs),15,14,.517,3.60,51,51,0,0,0,0,294.2,235,124,118,45,91,2,371,17,1,16,1208,122,3.77,1.106,7.2,1.4,2.8,11.3,4.08,,-9999
LAD (1 yr),LAD (1 yr),LAD (1 yr),LAD (1 yr),4,3,.571,3.44,9,9,0,0,0,0,49.2,44,20,19,7,13,1,61,1,0,3,202,121,3.38,1.148,8.0,1.3,2.4,11.1,4.69,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
NL (7 yrs),NL (7 yrs),NL (7 yrs),NL (7 yrs),51,46,.526,3.75,144,144,0,0,0,0,841.2,699,363,351,120,228,4,969,46,3,33,3436,109,3.71,1.101,7.5,1.3,2.4,10.4,4.25,,-9999
AL (5 yrs),AL (5 yrs),AL (5 yrs),AL (5 yrs),52,39,.571,3.42,122,122,0,2,1,0,782.2,630,317,297,85,294,4,960,28,3,44,3242,127,3.30,1.181,7.2,1.0,3.4,11.0,3.27,,-9999
